 Extracted on 12-Jul-2023 Mark Ohman lab SIO 
Station values of  appendicularia  Day + Night Line 80 and Line 90 All Cruises
Cruise,Station,Line,"Cruise mid-date","Station date","Local time (PST)","Day or Night","Abundance (No. per m2)","Estimated C Biomass (mgC m-2)"
"200507NH","  120.00","   90.00","2005-07-08","2005-07-04","15:30",Day,  932.79,    4.73
"200507NH","  110.00","   90.00","2005-07-08","2005-07-04",21:37,Night, 2691.87,"   22.60"
"200507NH","  100.00","   90.00","2005-07-08","2005-07-05","04:09",Night,"  404.04",    2.74
"200507NH","   80.00","   90.00","2005-07-08","2005-07-05",18:12,Day," 2225.09",    8.57
"200507NH","   90.00","   90.00","2005-07-08","2005-07-05","11:50",Day,  422.97,    3.16
"200507NH","   70.00","   90.00","2005-07-08","2005-07-06","00:46",Night,  748.78,    3.11
"200507NH","   37.00","   90.00","2005-07-08","2005-07-06",23:43,Night,66415.67,"  301.15"
"200507NH","   45.00","   90.00","2005-07-08","2005-07-06",18:12,Day,15225.37,   37.98
"200507NH","   53.00","   90.00","2005-07-08","2005-07-06",12:26,Day,36711.51,  323.43
"200507NH","   60.00","   90.00","2005-07-08","2005-07-06","08:20",Day,  219.15,    2.58
"200507NH","   28.00","   90.00","2005-07-08","2005-07-07","09:59",Day,47451.84,"  349.90"
"200507NH","   30.00","   90.00","2005-07-08","2005-07-07","06:39",Day,71795.61,"  340.78"
"200507NH","   35.00","   90.00","2005-07-08","2005-07-07","02:09",Night,68299.33," 1107.25"
"200507NH","   55.00","   80.00","2005-07-08","2005-07-13","00:42",Night,25171.59,  117.84
"200507NH","   70.00","   80.00","2005-07-08","2005-07-13","11:10",Day,"102497.80"," 1870.04"
"200507NH","   60.00","   80.00","2005-07-08","2005-07-13","03:49",Night, 3274.19,   14.52
"200511NH","   35.00","   90.00","2005-11-12","2005-11-07",23:14,Night," 1602.96","   10.96"
"200511NH","  120.00","   90.00","2005-11-12","2005-11-08","20:07",Night," 1508.03","   20.56"
"200511NH","   30.00","   90.00","2005-11-12","2005-11-08","05:41",Day, 9176.54,   51.73
"200511NH","   28.00","   90.00","2005-11-12","2005-11-08",12:37,Day, 8486.31,   35.32
"200511NH","  110.00","   90.00","2005-11-12","2005-11-09","03:15",Night, 5585.81,   85.33
"200511NH","   90.00","   90.00","2005-11-12","2005-11-09","20:57",Night,  587.26,   11.36
"200511NH","  100.00","   90.00","2005-11-12","2005-11-09","08:38",Day,"  520.03","    5.50"
"200511NH","   37.00","   90.00","2005-11-12","2005-11-10",18:23,Night, 7339.62,   41.48
"200511NH","   45.00","   90.00","2005-11-12","2005-11-10",14:47,Day,"10028.12",   69.49
"200511NH","   53.00","   90.00","2005-11-12","2005-11-10","10:29",Day,11996.66,  168.48
"200511NH","   60.00","   90.00","2005-11-12","2005-11-10","07:35",Day,"   40.12",    1.84
"200511NH","   70.00","   90.00","2005-11-12","2005-11-10","07:35",Day,"  234.08",    1.76
"200511NH","   80.00","   90.00","2005-11-12","2005-11-10","02:11",Night,"  182.08",    2.45
"200511NH","   80.00","   80.00","2005-11-12","2005-11-17",22:33,Night,"  380.95",   16.23
"200511NH","   70.00","   80.00","2005-11-12","2005-11-17",16:22,Day," 1803.77","   45.70"
"200511NH","   60.00","   80.00","2005-11-12","2005-11-17","08:45",Day, 9742.79,   81.91
"200511NH","   51.00","   80.00","2005-11-12","2005-11-17","01:29",Night," 1025.16","    1.07"
"200511NH","   55.00","   80.00","2005-11-12","2005-11-17","05:25",Night, 5948.81,   15.32
"200511NH","   90.00","   80.00","2005-11-12","2005-11-18","04:53",Night,"  818.04",    7.74
"200511NH","  100.00","   80.00","2005-11-12","2005-11-18",11:25,Day,   18.49,"    0.02"
"200602JD","  110.00","   90.00","2006-02-12","2006-02-07","16:02",Day," 2012.41",   35.32
"200602JD","  100.00","   90.00","2006-02-12","2006-02-07","22:20",Night,"21590.07",  277.48
"200602JD","  120.00","   90.00","2006-02-12","2006-02-07","07:35",Day,"  637.09","    4.30"
"200602JD","   90.00","   90.00","2006-02-12","2006-02-08","04:56",Night,  231.46,    1.48
"200602JD","   80.00","   90.00","2006-02-12","2006-02-08",11:32,Day, 3511.17,   23.15
"200602JD","   70.00","   90.00","2006-02-12","2006-02-08",17:36,Day, 5963.38,   35.59
"200602JD","   60.00","   90.00","2006-02-12","2006-02-09","00:28",Night,"27650.81","  400.32"
"200602JD","   53.00","   90.00","2006-02-12","2006-02-09","05:27",Night,"10099.64",   84.99
"200602JD","   45.00","   90.00","2006-02-12","2006-02-09","11:00",Day,13658.45,  118.66
"200602JD","   35.00","   90.00","2006-02-12","2006-02-09","19:40",Night," 5051.82",   25.72
"200602JD","   30.00","   90.00","2006-02-12","2006-02-09","23:50",Night, 7555.84,   47.89
"200602JD","   37.00","   90.00","2006-02-12","2006-02-09",16:33,Day, 3489.39,   17.98
