 Extracted on 12-Jul-2023 Mark Ohman lab SIO 
Station values of  Sum of All Calanoid Copepods  Day + Night Line 80 and Line 90 All Cruises
Cruise,Station,Line,"Cruise mid-date","Station date","Local time (PST)","Day or Night","Abundance (No. per m2)","Estimated C Biomass (mgC m-2)"
"200507NH","  110.00","   90.00","2005-07-08","2005-07-04",21:37,Night,"39914.20",  197.44
"200507NH","  120.00","   90.00","2005-07-08","2005-07-04","15:30",Day,"27150.54","  123.80"
"200507NH","  100.00","   90.00","2005-07-08","2005-07-05","04:09",Night,22971.62,"  103.66"
"200507NH","   80.00","   90.00","2005-07-08","2005-07-05",18:12,Day,"72230.62",  926.21
"200507NH","   90.00","   90.00","2005-07-08","2005-07-05","11:50",Day,"30035.47","  130.21"
"200507NH","   37.00","   90.00","2005-07-08","2005-07-06",23:43,Night,454283.19," 2037.59"
"200507NH","   45.00","   90.00","2005-07-08","2005-07-06",18:12,Day,446931.16, 1735.56
"200507NH","   53.00","   90.00","2005-07-08","2005-07-06",12:26,Day,"134807.12", 2688.16
"200507NH","   60.00","   90.00","2005-07-08","2005-07-06","08:20",Day, 9773.58,  154.37
"200507NH","   70.00","   90.00","2005-07-08","2005-07-06","00:46",Night,14634.15,  259.65
"200507NH","   28.00","   90.00","2005-07-08","2005-07-07","09:59",Day,457617.76," 1782.00"
"200507NH","   30.00","   90.00","2005-07-08","2005-07-07","06:39",Day,"360094.05", 1649.56
"200507NH","   35.00","   90.00","2005-07-08","2005-07-07","02:09",Night,"313530.83", 1839.73
"200507NH","   55.00","   80.00","2005-07-08","2005-07-13","00:42",Night,"181280.91",  665.46
"200507NH","   60.00","   80.00","2005-07-08","2005-07-13","03:49",Night,146861.66, 1149.87
"200507NH","   70.00","   80.00","2005-07-08","2005-07-13","11:10",Day,"304439.76"," 2486.30"
"200511NH","   35.00","   90.00","2005-11-12","2005-11-07",23:14,Night,"25333.02",   98.12
"200511NH","  120.00","   90.00","2005-11-12","2005-11-08","20:07",Night,19973.84,"  102.22"
"200511NH","   28.00","   90.00","2005-11-12","2005-11-08",12:37,Day,"80927.08",  249.99
"200511NH","   30.00","   90.00","2005-11-12","2005-11-08","05:41",Day,"247360.74",  932.29
"200511NH","  110.00","   90.00","2005-11-12","2005-11-09","03:15",Night,39158.83,  141.82
"200511NH","  100.00","   90.00","2005-11-12","2005-11-09","08:38",Day,"41810.12",  286.55
"200511NH","   90.00","   90.00","2005-11-12","2005-11-09","20:57",Night,"16610.99",  132.72
"200511NH","   45.00","   90.00","2005-11-12","2005-11-10",14:47,Day,117248.45,"  650.49"
"200511NH","   80.00","   90.00","2005-11-12","2005-11-10","02:11",Night, 5198.49,   88.55
"200511NH","   70.00","   90.00","2005-11-12","2005-11-10","07:35",Day, 9472.98,"  110.93"
"200511NH","   60.00","   90.00","2005-11-12","2005-11-10","07:35",Day,  998.62,"   10.72"
"200511NH","   37.00","   90.00","2005-11-12","2005-11-10",18:23,Night,"135028.32",  699.22
"200511NH","   53.00","   90.00","2005-11-12","2005-11-10","10:29",Day,"134992.03",  577.82
