 Extracted on 12-Jul-2023 Mark Ohman lab SIO 
Station values of  chaetognatha  Day + Night Line 80 and Line 90 All Cruises
Cruise,Station,Line,"Cruise mid-date","Station date","Local time (PST)","Day or Night","Abundance (No. per m2)","Estimated C Biomass (mgC m-2)"
"200507NH","  110.00","   90.00","2005-07-08","2005-07-04",21:37,Night, 1634.82,   16.17
"200507NH","  120.00","   90.00","2005-07-08","2005-07-04","15:30",Day, 1488.33,   19.37
"200507NH","  100.00","   90.00","2005-07-08","2005-07-05","04:09",Night,  639.74,   13.24
"200507NH","   80.00","   90.00","2005-07-08","2005-07-05",18:12,Day, 4969.36,  134.84
"200507NH","   90.00","   90.00","2005-07-08","2005-07-05","11:50",Day, 1819.66,   33.16
"200507NH","   37.00","   90.00","2005-07-08","2005-07-06",23:43,Night," 4073.49","  119.80"
"200507NH","   45.00","   90.00","2005-07-08","2005-07-06",18:12,Day, 6677.12,"  126.10"
"200507NH","   53.00","   90.00","2005-07-08","2005-07-06",12:26,Day, 6514.77,  267.18
"200507NH","   60.00","   90.00","2005-07-08","2005-07-06","08:20",Day, 1448.74,   28.88
"200507NH","   70.00","   90.00","2005-07-08","2005-07-06","00:46",Night, 1752.83,"   50.77"
"200507NH","   28.00","   90.00","2005-07-08","2005-07-07","09:59",Day,"19800.77",  154.83
"200507NH","   30.00","   90.00","2005-07-08","2005-07-07","06:39",Day, 1859.99,   92.15
"200507NH","   35.00","   90.00","2005-07-08","2005-07-07","02:09",Night, 4522.52,  171.65
"200507NH","   55.00","   80.00","2005-07-08","2005-07-13","00:42",Night," 1459.09",   82.74
"200507NH","   60.00","   80.00","2005-07-08","2005-07-13","03:49",Night," 8140.98",  221.12
"200507NH","   70.00","   80.00","2005-07-08","2005-07-13","11:10",Day," 7874.40",  329.43
"200511NH","   35.00","   90.00","2005-11-12","2005-11-07",23:14,Night," 1340.10",   29.87
"200511NH","  120.00","   90.00","2005-11-12","2005-11-08","20:07",Night, 1447.71,   14.27
"200511NH","   28.00","   90.00","2005-11-12","2005-11-08",12:37,Day," 2517.08",   28.78
"200511NH","   30.00","   90.00","2005-11-12","2005-11-08","05:41",Day, 9653.84,  175.97
"200511NH","  110.00","   90.00","2005-11-12","2005-11-09","03:15",Night, 1939.52,   51.35
"200511NH","  100.00","   90.00","2005-11-12","2005-11-09","08:38",Day," 2409.26","   72.60"
"200511NH","   90.00","   90.00","2005-11-12","2005-11-09","20:57",Night,  747.42,   21.44
"200511NH","   45.00","   90.00","2005-11-12","2005-11-10",14:47,Day," 4390.78",   76.58
"200511NH","   80.00","   90.00","2005-11-12","2005-11-10","02:11",Night,  278.69,    8.35
"200511NH","   70.00","   90.00","2005-11-12","2005-11-10","07:35",Day,"  449.05",   13.27
"200511NH","   60.00","   90.00","2005-11-12","2005-11-10","07:35",Day,   35.67,"    0.71"
"200511NH","   37.00","   90.00","2005-11-12","2005-11-10",18:23,Night, 6418.73,  145.88
"200511NH","   53.00","   90.00","2005-11-12","2005-11-10","10:29",Day, 1689.81,"   35.04"
"200511NH","   80.00","   80.00","2005-11-12","2005-11-17",22:33,Night, 2919.79,  152.75
"200511NH","   70.00","   80.00","2005-11-12","2005-11-17",16:22,Day," 2036.88",  154.67
"200511NH","   60.00","   80.00","2005-11-12","2005-11-17","08:45",Day, 7433.22,  237.71
"200511NH","   55.00","   80.00","2005-11-12","2005-11-17","05:25",Night, 1837.43,   73.38
"200511NH","   51.00","   80.00","2005-11-12","2005-11-17","01:29",Night," 1090.24",   22.27
"200511NH","   90.00","   80.00","2005-11-12","2005-11-18","04:53",Night,  985.86,   41.43
"200511NH","  100.00","   80.00","2005-11-12","2005-11-18",11:25,Day,  545.41,   27.49
"200602JD","  120.00","   90.00","2006-02-12","2006-02-07","07:35",Day,  612.96,"    5.20"
"200602JD","  110.00","   90.00","2006-02-12","2006-02-07","16:02",Day,"  349.30",    5.57
"200602JD","  100.00","   90.00","2006-02-12","2006-02-07","22:20",Night, 1369.73,"   40.25"
"200602JD","   90.00","   90.00","2006-02-12","2006-02-08","04:56",Night,  791.82,   21.24
"200602JD","   70.00","   90.00","2006-02-12","2006-02-08",17:36,Day," 1101.35","   30.78"
"200602JD","   80.00","   90.00","2006-02-12","2006-02-08",11:32,Day, 2216.73,"   82.10"
"200602JD","   35.00","   90.00","2006-02-12","2006-02-09","19:40",Night," 4272.03",   78.82
"200602JD","   37.00","   90.00","2006-02-12","2006-02-09",16:33,Day, 1537.88,   23.14
"200602JD","   45.00","   90.00","2006-02-12","2006-02-09","11:00",Day, 4256.84,"  102.97"
"200602JD","   53.00","   90.00","2006-02-12","2006-02-09","05:27",Night, 1463.83,   65.34
"200602JD","   60.00","   90.00","2006-02-12","2006-02-09","00:28",Night," 4840.38",  227.44
"200602JD","   30.00","   90.00","2006-02-12","2006-02-09","23:50",Night, 4493.87,   77.74
"200602JD","   28.00","   90.00","2006-02-12","2006-02-10","02:29",Night, 1364.12,    9.98
"200602JD","   60.00","   80.00","2006-02-12","2006-02-16",11:29,Day," 1199.08","   52.02"
"200602JD","   55.00","   80.00","2006-02-12","2006-02-16","06:50",Day," 3708.54",  148.95
