 Extracted on 12-Jul-2023 Mark Ohman lab SIO 
Station values of  copepoda_calanoida  Day + Night Line 80 and Line 90 All Cruises
Cruise,Station,Line,"Cruise mid-date","Station date","Local time (PST)","Day or Night","Abundance (No. per m2)","Estimated C Biomass (mgC m-2)"
"200507NH","  110.00","   90.00","2005-07-08","2005-07-04",21:37,Night,"39914.20",  197.44
"200507NH","  120.00","   90.00","2005-07-08","2005-07-04","15:30",Day,"27013.73","  120.47"
"200507NH","  100.00","   90.00","2005-07-08","2005-07-05","04:09",Night,22954.78,"  103.10"
"200507NH","   80.00","   90.00","2005-07-08","2005-07-05",18:12,Day,"70831.99",  817.25
"200507NH","   90.00","   90.00","2005-07-08","2005-07-05","11:50",Day,29757.89,"  107.15"
"200507NH","   37.00","   90.00","2005-07-08","2005-07-06",23:43,Night,446313.31," 1509.39"
"200507NH","   45.00","   90.00","2005-07-08","2005-07-06",18:12,Day,"441061.45", 1197.69
"200507NH","   53.00","   90.00","2005-07-08","2005-07-06",12:26,Day,"128250.95","  768.09"
"200507NH","   60.00","   90.00","2005-07-08","2005-07-06","08:20",Day," 9210.38",  121.13
"200507NH","   70.00","   90.00","2005-07-08","2005-07-06","00:46",Night,14177.54,  194.79
"200507NH","   28.00","   90.00","2005-07-08","2005-07-07","09:59",Day,457467.75," 1762.10"
"200507NH","   30.00","   90.00","2005-07-08","2005-07-07","06:39",Day,"357118.06", 1188.86
"200507NH","   35.00","   90.00","2005-07-08","2005-07-07","02:09",Night,"311500.31", 1554.96
"200507NH","   55.00","   80.00","2005-07-08","2005-07-13","00:42",Night,"180565.37","  559.06"
"200507NH","   60.00","   80.00","2005-07-08","2005-07-13","03:49",Night,"144970.68","  746.80"
"200507NH","   70.00","   80.00","2005-07-08","2005-07-13","11:10",Day,"290388.15", 1157.41
"200511NH","   35.00","   90.00","2005-11-12","2005-11-07",23:14,Night,"25302.10","   90.15"
"200511NH","  120.00","   90.00","2005-11-12","2005-11-08","20:07",Night,19973.84,"  102.22"
"200511NH","   28.00","   90.00","2005-11-12","2005-11-08",12:37,Day,"80916.20",  241.94
"200511NH","   30.00","   90.00","2005-11-12","2005-11-08","05:41",Day,247284.35,"  909.79"
"200511NH","  110.00","   90.00","2005-11-12","2005-11-09","03:15",Night,39158.83,  141.82
"200511NH","  100.00","   90.00","2005-11-12","2005-11-09","08:38",Day,"41810.12",  286.55
"200511NH","   90.00","   90.00","2005-11-12","2005-11-09","20:57",Night,16488.96,"  106.43"
"200511NH","   45.00","   90.00","2005-11-12","2005-11-10",14:47,Day,"117022.29","  612.30"
"200511NH","   80.00","   90.00","2005-11-12","2005-11-10","02:11",Night, 5198.49,   88.55
"200511NH","   70.00","   90.00","2005-11-12","2005-11-10","07:35",Day, 9458.65,"  102.35"
"200511NH","   60.00","   90.00","2005-11-12","2005-11-10","07:35",Day,  994.16,    9.68
"200511NH","   37.00","   90.00","2005-11-12","2005-11-10",18:23,Night,134389.73,"  505.68"
"200511NH","   53.00","   90.00","2005-11-12","2005-11-10","10:29",Day,134955.65,  573.68
"200511NH","   80.00","   80.00","2005-11-12","2005-11-17",22:33,Night,69313.69,  638.18
