 Extracted on 12-Jul-2023 Mark Ohman lab SIO 
Station values of  copepoda_eucalanids  Day + Night Line 80 and Line 90 All Cruises
Cruise,Station,Line,"Cruise mid-date","Station date","Local time (PST)","Day or Night","Abundance (No. per m2)","Estimated C Biomass (mgC m-2)"
"200507NH","  110.00","   90.00","2005-07-08","2005-07-04",21:37,Night,"    0.00","    0.00"
"200507NH","  120.00","   90.00","2005-07-08","2005-07-04","15:30",Day,  136.81,    3.33
"200507NH","  100.00","   90.00","2005-07-08","2005-07-05","04:09",Night,   16.84,"    0.55"
"200507NH","   80.00","   90.00","2005-07-08","2005-07-05",18:12,Day, 1398.63,"  108.96"
"200507NH","   90.00","   90.00","2005-07-08","2005-07-05","11:50",Day,  277.58,"   23.06"
"200507NH","   37.00","   90.00","2005-07-08","2005-07-06",23:43,Night, 7969.88,"  528.20"
"200507NH","   45.00","   90.00","2005-07-08","2005-07-06",18:12,Day, 5869.71,  537.87
"200507NH","   53.00","   90.00","2005-07-08","2005-07-06",12:26,Day, 6556.17," 1920.07"
"200507NH","   60.00","   90.00","2005-07-08","2005-07-06","08:20",Day,"  563.20",   33.24
"200507NH","   70.00","   90.00","2005-07-08","2005-07-06","00:46",Night,"  456.60",   64.86
"200507NH","   28.00","   90.00","2005-07-08","2005-07-07","09:59",Day,"  150.01","   19.90"
"200507NH","   30.00","   90.00","2005-07-08","2005-07-07","06:39",Day, 2975.98,"  460.70"
"200507NH","   35.00","   90.00","2005-07-08","2005-07-07","02:09",Night," 2030.52",  284.77
"200507NH","   55.00","   80.00","2005-07-08","2005-07-13","00:42",Night,  715.54,"  106.39"
"200507NH","   60.00","   80.00","2005-07-08","2005-07-13","03:49",Night," 1890.98","  403.07"
"200507NH","   70.00","   80.00","2005-07-08","2005-07-13","11:10",Day,"14051.61", 1328.88
"200511NH","   35.00","   90.00","2005-11-12","2005-11-07",23:14,Night,"   30.93",    7.97
"200511NH","  120.00","   90.00","2005-11-12","2005-11-08","20:07",Night,"    0.00","    0.00"
"200511NH","   28.00","   90.00","2005-11-12","2005-11-08",12:37,Day,"   10.87","    8.05"
"200511NH","   30.00","   90.00","2005-11-12","2005-11-08","05:41",Day,   76.39,"   22.50"
"200511NH","  110.00","   90.00","2005-11-12","2005-11-09","03:15",Night,"    0.00","    0.00"
"200511NH","  100.00","   90.00","2005-11-12","2005-11-09","08:38",Day,"    0.00","    0.00"
"200511NH","   90.00","   90.00","2005-11-12","2005-11-09","20:57",Night,"  122.03",   26.29
"200511NH","   70.00","   90.00","2005-11-12","2005-11-10","07:35",Day,   14.33,    8.58
"200511NH","   60.00","   90.00","2005-11-12","2005-11-10","07:35",Day,    4.46,"    1.04"
"200511NH","   53.00","   90.00","2005-11-12","2005-11-10","10:29",Day,   36.38,    4.14
"200511NH","   80.00","   90.00","2005-11-12","2005-11-10","02:11",Night,"    0.00","    0.00"
"200511NH","   37.00","   90.00","2005-11-12","2005-11-10",18:23,Night,  638.59,  193.54
"200511NH","   45.00","   90.00","2005-11-12","2005-11-10",14:47,Day,  226.16,   38.19
"200511NH","   80.00","   80.00","2005-11-12","2005-11-17",22:33,Night,  117.86,   19.31
"200511NH","   55.00","   80.00","2005-11-12","2005-11-17","05:25",Night,"    0.00","    0.00"
"200511NH","   70.00","   80.00","2005-11-12","2005-11-17",16:22,Day,"   80.14","   18.40"
"200511NH","   60.00","   80.00","2005-11-12","2005-11-17","08:45",Day,  996.55,  133.52
"200511NH","   51.00","   80.00","2005-11-12","2005-11-17","01:29",Night,"   10.58","    2.03"
"200511NH","   90.00","   80.00","2005-11-12","2005-11-18","04:53",Night,   15.99,"    9.09"
"200511NH","  100.00","   80.00","2005-11-12","2005-11-18",11:25,Day,   69.33,   15.91
"200602JD","  100.00","   90.00","2006-02-12","2006-02-07","22:20",Night,  176.22,   64.76
