 Extracted on 12-Jul-2023 Mark Ohman lab SIO 
Station values of  copepoda_oithona_like  Day + Night Line 80 and Line 90 All Cruises
Cruise,Station,Line,"Cruise mid-date","Station date","Local time (PST)","Day or Night","Abundance (No. per m2)","Estimated C Biomass (mgC m-2)"
"200507NH","  110.00","   90.00","2005-07-08","2005-07-04",21:37,Night," 2817.08",    6.75
"200507NH","  120.00","   90.00","2005-07-08","2005-07-04","15:30",Day, 1989.96,"    7.01"
"200507NH","  100.00","   90.00","2005-07-08","2005-07-05","04:09",Night," 1430.99",    2.56
"200507NH","   80.00","   90.00","2005-07-08","2005-07-05",18:12,Day," 2437.00",    5.76
"200507NH","   90.00","   90.00","2005-07-08","2005-07-05","11:50",Day," 3000.46",    4.46
"200507NH","   37.00","   90.00","2005-07-08","2005-07-06",23:43,Night,"94930.13","  111.05"
"200507NH","   45.00","   90.00","2005-07-08","2005-07-06",18:12,Day,67155.66,   69.72
"200507NH","   53.00","   90.00","2005-07-08","2005-07-06",12:26,Day,"10600.77",   16.39
"200507NH","   60.00","   90.00","2005-07-08","2005-07-06","08:20",Day,"  438.30","    0.56"
"200507NH","   70.00","   90.00","2005-07-08","2005-07-06","00:46",Night,  973.41,"    1.30"
"200507NH","   28.00","   90.00","2005-07-08","2005-07-07","09:59",Day,"13150.51",   13.43
"200507NH","   30.00","   90.00","2005-07-08","2005-07-07","06:39",Day,113831.38,  124.55
"200507NH","   35.00","   90.00","2005-07-08","2005-07-07","02:09",Night,22797.21,   31.92
"200507NH","   55.00","   80.00","2005-07-08","2005-07-13","00:42",Night," 3098.29",    3.22
"200507NH","   60.00","   80.00","2005-07-08","2005-07-13","03:49",Night,35767.27,   37.62
"200507NH","   70.00","   80.00","2005-07-08","2005-07-13","11:10",Day,34279.51,   52.58
"200511NH","   35.00","   90.00","2005-11-12","2005-11-07",23:14,Night," 3035.84",    4.26
"200511NH","  120.00","   90.00","2005-11-12","2005-11-08","20:07",Night, 3415.69,"   10.11"
"200511NH","   28.00","   90.00","2005-11-12","2005-11-08",12:37,Day," 4099.09",    4.81
"200511NH","   30.00","   90.00","2005-11-12","2005-11-08","05:41",Day,"17061.06",   25.57
"200511NH","  110.00","   90.00","2005-11-12","2005-11-09","03:15",Night, 4742.12,"   14.02"
