 Extracted on 12-Jul-2023 Mark Ohman lab SIO 
Station values of  copepoda_others  Day + Night Line 80 and Line 90 All Cruises
Cruise,Station,Line,"Cruise mid-date","Station date","Local time (PST)","Day or Night","Abundance (No. per m2)","Estimated C Biomass (mgC m-2)"
"200507NH","  120.00","   90.00","2005-07-08","2005-07-04","15:30",Day," 2056.29",    4.96
"200507NH","  110.00","   90.00","2005-07-08","2005-07-04",21:37,Night," 1690.25",    2.85
"200507NH","  100.00","   90.00","2005-07-08","2005-07-05","04:09",Night,"  622.90",    1.14
"200507NH","   80.00","   90.00","2005-07-08","2005-07-05",18:12,Day," 1907.22",    3.13
"200507NH","   90.00","   90.00","2005-07-08","2005-07-05","11:50",Day," 2220.61",    2.65
"200507NH","   70.00","   90.00","2005-07-08","2005-07-06","00:46",Night,  299.51,"    0.77"
"200507NH","   37.00","   90.00","2005-07-08","2005-07-06",23:43,Night,"50298.80",   55.16
"200507NH","   45.00","   90.00","2005-07-08","2005-07-06",18:12,Day,52289.14,   49.87
"200507NH","   53.00","   90.00","2005-07-08","2005-07-06",12:26,Day," 7603.10","   10.90"
"200507NH","   60.00","   90.00","2005-07-08","2005-07-06","08:20",Day, 1176.45,    2.83
"200507NH","   28.00","   90.00","2005-07-08","2005-07-07","09:59",Day," 9200.36","   10.57"
"200507NH","   30.00","   90.00","2005-07-08","2005-07-07","06:39",Day,51335.72,   43.13
"200507NH","   35.00","   90.00","2005-07-08","2005-07-07","02:09",Night,16336.46,"   18.70"
"200507NH","   55.00","   80.00","2005-07-08","2005-07-13","00:42",Night, 4819.56,"    4.10"
"200507NH","   70.00","   80.00","2005-07-08","2005-07-13","11:10",Day, 2673.85,    3.73
"200507NH","   60.00","   80.00","2005-07-08","2005-07-13","03:49",Night, 4647.55,"    3.50"
"200511NH","   35.00","   90.00","2005-11-12","2005-11-07",23:14,Night,  824.68,    1.36
"200511NH","   30.00","   90.00","2005-11-12","2005-11-08","05:41",Day,"12067.58",   15.75
"200511NH","   28.00","   90.00","2005-11-12","2005-11-08",12:37,Day, 1484.15,"    4.09"
"200511NH","  120.00","   90.00","2005-11-12","2005-11-08","20:07",Night, 1598.51,    2.61
"200511NH","  110.00","   90.00","2005-11-12","2005-11-09","03:15",Night, 1289.78,"    2.30"
"200511NH","  100.00","   90.00","2005-11-12","2005-11-09","08:38",Day," 1170.07",    1.31
"200511NH","   90.00","   90.00","2005-11-12","2005-11-09","20:57",Night,  678.78,"    0.84"
"200511NH","   37.00","   90.00","2005-11-12","2005-11-10",18:23,Night,"10794.04",    9.36
"200511NH","   45.00","   90.00","2005-11-12","2005-11-10",14:47,Day, 8119.57,   17.77
"200511NH","   53.00","   90.00","2005-11-12","2005-11-10","10:29",Day," 3717.05",    9.34
"200511NH","   60.00","   90.00","2005-11-12","2005-11-10","07:35",Day,   71.33,"    0.32"
"200511NH","   70.00","   90.00","2005-11-12","2005-11-10","07:35",Day,"  687.90",    2.12
"200511NH","   80.00","   90.00","2005-11-12","2005-11-10","02:11",Night,  423.61,"    0.96"
"200511NH","   70.00","   80.00","2005-11-12","2005-11-17",16:22,Day,  728.59,"    1.07"
"200511NH","   60.00","   80.00","2005-11-12","2005-11-17","08:45",Day, 2487.45,"    3.02"
"200511NH","   55.00","   80.00","2005-11-12","2005-11-17","05:25",Night," 1908.22",    3.58
"200511NH","   80.00","   80.00","2005-11-12","2005-11-17",22:33,Night," 1086.12",    1.63
"200511NH","   51.00","   80.00","2005-11-12","2005-11-17","01:29",Night, 4547.11,    8.77
"200511NH","   90.00","   80.00","2005-11-12","2005-11-18","04:53",Night,"  650.17","    0.76"
"200511NH","  100.00","   80.00","2005-11-12","2005-11-18",11:25,Day,"  180.26","    0.20"
"200602JD","  120.00","   90.00","2006-02-12","2006-02-07","07:35",Day,  733.62,"    0.64"
"200602JD","  110.00","   90.00","2006-02-12","2006-02-07","16:02",Day,"  604.77","    0.68"
"200602JD","  100.00","   90.00","2006-02-12","2006-02-07","22:20",Night," 2015.81",    2.45
"200602JD","   90.00","   90.00","2006-02-12","2006-02-08","04:56",Night,  552.24,"    0.45"
"200602JD","   80.00","   90.00","2006-02-12","2006-02-08",11:32,Day, 2898.78,"    3.06"
"200602JD","   70.00","   90.00","2006-02-12","2006-02-08",17:36,Day," 1508.37",    1.23
"200602JD","   60.00","   90.00","2006-02-12","2006-02-09","00:28",Night," 7327.20",    7.13
"200602JD","   53.00","   90.00","2006-02-12","2006-02-09","05:27",Night, 2515.48,    2.21
"200602JD","   37.00","   90.00","2006-02-12","2006-02-09",16:33,Day, 2184.85,    1.89
"200602JD","   35.00","   90.00","2006-02-12","2006-02-09","19:40",Night, 6361.56,    5.79
"200602JD","   30.00","   90.00","2006-02-12","2006-02-09","23:50",Night, 3768.51,    3.16
"200602JD","   45.00","   90.00","2006-02-12","2006-02-09","11:00",Day," 6610.35",    5.33
"200602JD","   28.00","   90.00","2006-02-12","2006-02-10","02:29",Night,  712.74,"    1.09"
"200602JD","   60.00","   80.00","2006-02-12","2006-02-16",11:29,Day,  456.83,    2.26
"200602JD","   55.00","   80.00","2006-02-12","2006-02-16","06:50",Day, 1358.82,"    0.89"
"200602JD","   51.00","   80.00","2006-02-12","2006-02-16","03:08",Night, 5821.89,"   10.68"
"200602JD","  100.00","   80.00","2006-02-12","2006-02-17",12:28,Day,  493.68,"    0.67"
"200604NH","  100.00","   90.00","2006-04-10","2006-04-05",19:51,Night, 2388.81,    1.77
"200604NH","  110.00","   90.00","2006-04-10","2006-04-05",12:24,Day,  759.28,"    0.57"
