 Extracted on 12-Jul-2023 Mark Ohman lab SIO 
Station values of  crustacea_others  Day + Night Line 80 and Line 90 All Cruises
Cruise,Station,Line,"Cruise mid-date","Station date","Local time (PST)","Day or Night","Abundance (No. per m2)","Estimated C Biomass (mgC m-2)"
"200507NH","  120.00","   90.00","2005-07-08","2005-07-04","15:30",Day, 2665.72,    1.37
"200507NH","  110.00","   90.00","2005-07-08","2005-07-04",21:37,Night, 2445.57,"    0.53"
"200507NH","   80.00","   90.00","2005-07-08","2005-07-05",18:12,Day,  317.87,"    0.80"
"200507NH","   90.00","   90.00","2005-07-08","2005-07-05","11:50",Day,"   44.06","    0.58"
"200507NH","  100.00","   90.00","2005-07-08","2005-07-05","04:09",Night,  294.62,"    0.39"
"200507NH","   53.00","   90.00","2005-07-08","2005-07-06",12:26,Day,"    0.00","    0.00"
"200507NH","   37.00","   90.00","2005-07-08","2005-07-06",23:43,Night,86251.82,"   18.20"
"200507NH","   45.00","   90.00","2005-07-08","2005-07-06",18:12,Day," 4280.53","    3.10"
"200507NH","   60.00","   90.00","2005-07-08","2005-07-06","08:20",Day,   51.85,    6.95
"200507NH","   70.00","   90.00","2005-07-08","2005-07-06","00:46",Night,  169.39,"    3.01"
"200507NH","   28.00","   90.00","2005-07-08","2005-07-07","09:59",Day,"12600.49",    2.67
"200507NH","   30.00","   90.00","2005-07-08","2005-07-07","06:39",Day, 2231.99,"    0.54"
"200507NH","   35.00","   90.00","2005-07-08","2005-07-07","02:09",Night,73283.33,"   10.36"
"200507NH","   55.00","   80.00","2005-07-08","2005-07-13","00:42",Night,  688.51,"    0.60"
"200507NH","   60.00","   80.00","2005-07-08","2005-07-13","03:49",Night," 1054.92",    2.94
"200507NH","   70.00","   80.00","2005-07-08","2005-07-13","11:10",Day,   54.26,"    2.60"
"200511NH","   35.00","   90.00","2005-11-12","2005-11-07",23:14,Night,   46.39,"    0.05"
"200511NH","  120.00","   90.00","2005-11-12","2005-11-08","20:07",Night,"  120.64","    0.01"
"200511NH","   28.00","   90.00","2005-11-12","2005-11-08",12:37,Day," 4707.97",    3.11
"200511NH","   30.00","   90.00","2005-11-12","2005-11-08","05:41",Day, 8333.38,    2.32
"200511NH","  110.00","   90.00","2005-11-12","2005-11-09","03:15",Night,  164.86,"    0.79"
"200511NH","  100.00","   90.00","2005-11-12","2005-11-09","08:38",Day,"   17.05","    0.09"
"200511NH","   90.00","   90.00","2005-11-12","2005-11-09","20:57",Night,   53.39,"    3.30"
"200511NH","   70.00","   90.00","2005-11-12","2005-11-10","07:35",Day,   66.88,"    0.86"
"200511NH","   60.00","   90.00","2005-11-12","2005-11-10","07:35",Day,    8.92,"    0.07"
"200511NH","   53.00","   90.00","2005-11-12","2005-11-10","10:29",Day,  419.52,"   10.80"
"200511NH","   80.00","   90.00","2005-11-12","2005-11-10","02:11",Night,   89.18,    1.98
"200511NH","   37.00","   90.00","2005-11-12","2005-11-10",18:23,Night,   19.52,"    0.23"
"200511NH","   45.00","   90.00","2005-11-12","2005-11-10",14:47,Day,"   33.10",    9.28
"200511NH","   80.00","   80.00","2005-11-12","2005-11-17",22:33,Night,"  807.06","    3.20"
"200511NH","   70.00","   80.00","2005-11-12","2005-11-17",16:22,Day,"  422.06",    1.38
"200511NH","   60.00","   80.00","2005-11-12","2005-11-17","08:45",Day," 7297.06",    6.53
"200511NH","   55.00","   80.00","2005-11-12","2005-11-17","05:25",Night," 9903.88",    7.37
"200511NH","   51.00","   80.00","2005-11-12","2005-11-17","01:29",Night,54565.28,"   10.79"
"200511NH","  100.00","   80.00","2005-11-12","2005-11-18",11:25,Day,"   60.09",    2.29
"200511NH","   90.00","   80.00","2005-11-12","2005-11-18","04:53",Night, 1164.44,    4.96
"200602JD","  100.00","   90.00","2006-02-12","2006-02-07","22:20",Night,   17.62,"    0.60"
"200602JD","  110.00","   90.00","2006-02-12","2006-02-07","16:02",Day,"   10.43","    0.27"
"200602JD","  120.00","   90.00","2006-02-12","2006-02-07","07:35",Day,   48.26,"    0.18"
"200602JD","   70.00","   90.00","2006-02-12","2006-02-08",17:36,Day,   88.73,"    0.82"
"200602JD","   90.00","   90.00","2006-02-12","2006-02-08","04:56",Night,"   73.09","    0.48"
"200602JD","   80.00","   90.00","2006-02-12","2006-02-08",11:32,Day,"  230.45",    1.58
"200602JD","   30.00","   90.00","2006-02-12","2006-02-09","23:50",Night,  198.28,"    0.50"
"200602JD","   35.00","   90.00","2006-02-12","2006-02-09","19:40",Night,"  187.10","    0.01"
"200602JD","   37.00","   90.00","2006-02-12","2006-02-09",16:33,Day,   95.45,"    0.01"
"200602JD","   45.00","   90.00","2006-02-12","2006-02-09","11:00",Day,"  330.36",    3.66
"200602JD","   53.00","   90.00","2006-02-12","2006-02-09","05:27",Night,   18.85,"    0.37"
"200602JD","   60.00","   90.00","2006-02-12","2006-02-09","00:28",Night,"  591.09",    1.23
"200602JD","   28.00","   90.00","2006-02-12","2006-02-10","02:29",Night,12651.12,"    2.01"
"200602JD","   60.00","   80.00","2006-02-12","2006-02-16",11:29,Day,"  304.55","    0.12"
"200602JD","   55.00","   80.00","2006-02-12","2006-02-16","06:50",Day," 4961.02",    3.27
"200602JD","   51.00","   80.00","2006-02-12","2006-02-16","03:08",Night,17956.74,    6.13
"200602JD","  100.00","   80.00","2006-02-12","2006-02-17",12:28,Day,  181.56,"    0.07"
"200604NH","  110.00","   90.00","2006-04-10","2006-04-05",12:24,Day,"    3.30","    0.00"
"200604NH","  100.00","   90.00","2006-04-10","2006-04-05",19:51,Night,   56.88,"    0.41"
"200604NH","   90.00","   90.00","2006-04-10","2006-04-06","02:18",Night,"   92.00","    0.21"
"200604NH","   80.00","   90.00","2006-04-10","2006-04-06","07:58",Day,   13.76,"    0.59"
"200604NH","   70.00","   90.00","2006-04-10","2006-04-06","16:04",Day,  496.72,"    0.09"
"200604NH","   60.00","   90.00","2006-04-10","2006-04-06",22:53,Night," 5464.20",    1.24
