 Extracted on 12-Jul-2023 Mark Ohman lab SIO 
Station values of  euphausiids  Day + Night Line 80 and Line 90 All Cruises
Cruise,Station,Line,"Cruise mid-date","Station date","Local time (PST)","Day or Night","Abundance (No. per m2)","Estimated C Biomass (mgC m-2)"
"200507NH","  120.00","   90.00","2005-07-08","2005-07-04","15:30",Day,  397.99,"    3.08"
"200507NH","  110.00","   90.00","2005-07-08","2005-07-04",21:37,Night," 1011.87","  206.79"
"200507NH","  100.00","   90.00","2005-07-08","2005-07-05","04:09",Night,"  202.02",   12.25
"200507NH","   80.00","   90.00","2005-07-08","2005-07-05",18:12,Day,  868.84,   15.11
"200507NH","   90.00","   90.00","2005-07-08","2005-07-05","11:50",Day,"   74.90","    0.75"
"200507NH","   70.00","   90.00","2005-07-08","2005-07-06","00:46",Night,  652.97,   82.26
"200507NH","   37.00","   90.00","2005-07-08","2005-07-06",23:43,Night,24972.29,  251.47
"200507NH","   45.00","   90.00","2005-07-08","2005-07-06",18:12,Day, 6843.73,   16.45
"200507NH","   53.00","   90.00","2005-07-08","2005-07-06",12:26,Day," 1607.45",   59.42
"200507NH","   60.00","   90.00","2005-07-08","2005-07-06","08:20",Day,   59.51,"    6.04"
"200507NH","   28.00","   90.00","2005-07-08","2005-07-07","09:59",Day," 2500.10",    2.58
"200507NH","   30.00","   90.00","2005-07-08","2005-07-07","06:39",Day, 3347.98,   64.14
"200507NH","   35.00","   90.00","2005-07-08","2005-07-07","02:09",Night,14121.35,   62.88
"200507NH","   55.00","   80.00","2005-07-08","2005-07-13","00:42",Night, 8756.49,  482.52
"200507NH","   70.00","   80.00","2005-07-08","2005-07-13","11:10",Day,13663.98,  783.87
"200507NH","   60.00","   80.00","2005-07-08","2005-07-13","03:49",Night,14978.67, 2294.97
"200511NH","   35.00","   90.00","2005-11-12","2005-11-07",23:14,Night,  386.57,    2.47
"200511NH","   30.00","   90.00","2005-11-12","2005-11-08","05:41",Day," 2540.39",    6.24
"200511NH","   28.00","   90.00","2005-11-12","2005-11-08",12:37,Day,"  282.70",    1.68
"200511NH","  120.00","   90.00","2005-11-12","2005-11-08","20:07",Night,"  301.61",   21.49
"200511NH","  110.00","   90.00","2005-11-12","2005-11-09","03:15",Night,  174.56,   35.55
"200511NH","  100.00","   90.00","2005-11-12","2005-11-09","08:38",Day,"   99.10",    1.85
"200511NH","   90.00","   90.00","2005-11-12","2005-11-09","20:57",Night,   38.13,   14.71
"200511NH","   37.00","   90.00","2005-11-12","2005-11-10",18:23,Night, 6894.97,   38.77
"200511NH","   45.00","   90.00","2005-11-12","2005-11-10",14:47,Day, 1373.49,   93.32
"200511NH","   53.00","   90.00","2005-11-12","2005-11-10","10:29",Day,  881.88,   27.89
"200511NH","   60.00","   90.00","2005-11-12","2005-11-10","07:35",Day,   13.37,    2.85
"200511NH","   70.00","   90.00","2005-11-12","2005-11-10","07:35",Day,   76.43,"    0.68"
"200511NH","   80.00","   90.00","2005-11-12","2005-11-10","02:11",Night,    7.43,    1.15
"200511NH","   70.00","   80.00","2005-11-12","2005-11-17",16:22,Day,  426.74,"   26.07"
"200511NH","   60.00","   80.00","2005-11-12","2005-11-17","08:45",Day, 4729.31,  132.65
"200511NH","   55.00","   80.00","2005-11-12","2005-11-17","05:25",Night," 7065.02","  750.33"
"200511NH","   80.00","   80.00","2005-11-12","2005-11-17",22:33,Night,"  635.40",  213.93
"200511NH","   51.00","   80.00","2005-11-12","2005-11-17","01:29",Night,  525.81,"   23.80"
"200511NH","   90.00","   80.00","2005-11-12","2005-11-18","04:53",Night,"  302.43",   43.74
"200511NH","  100.00","   80.00","2005-11-12","2005-11-18",11:25,Day,   23.11,"    2.10"
"200602JD","  120.00","   90.00","2006-02-12","2006-02-07","07:35",Day,   62.74,"    0.81"
"200602JD","  110.00","   90.00","2006-02-12","2006-02-07","16:02",Day,"  104.27","    0.94"
"200602JD","  100.00","   90.00","2006-02-12","2006-02-07","22:20",Night," 5303.84","  204.98"
"200602JD","   90.00","   90.00","2006-02-12","2006-02-08","04:56",Night,  239.58,"   12.90"
"200602JD","   80.00","   90.00","2006-02-12","2006-02-08",11:32,Day," 1091.43","   33.06"
"200602JD","   70.00","   90.00","2006-02-12","2006-02-08",17:36,Day,"  410.76",    9.26
