 Extracted on 12-Jul-2023 Mark Ohman lab SIO 
Station values of  pteropoda  Day + Night Line 80 and Line 90 All Cruises
Cruise,Station,Line,"Cruise mid-date","Station date","Local time (PST)","Day or Night","Abundance (No. per m2)","Estimated C Biomass (mgC m-2)"
"200507NH","  120.00","   90.00","2005-07-08","2005-07-04","15:30",Day," 2732.05",   36.39
"200507NH","  110.00","   90.00","2005-07-08","2005-07-04",21:37,Night," 2036.09",   23.17
"200507NH","  100.00","   90.00","2005-07-08","2005-07-05","04:09",Night, 1599.34,    4.61
"200507NH","   80.00","   90.00","2005-07-08","2005-07-05",18:12,Day, 1546.97,    9.39
"200507NH","   90.00","   90.00","2005-07-08","2005-07-05","11:50",Day, 1141.15,    2.81
"200507NH","   60.00","   90.00","2005-07-08","2005-07-06","08:20",Day,  732.28,"    0.77"
"200507NH","   37.00","   90.00","2005-07-08","2005-07-06",23:43,Night,"  708.43","    0.55"
"200507NH","   45.00","   90.00","2005-07-08","2005-07-06",18:12,Day,  512.64,"    0.47"
"200507NH","   53.00","   90.00","2005-07-08","2005-07-06",12:26,Day,  434.46,   23.25
"200507NH","   70.00","   90.00","2005-07-08","2005-07-06","00:46",Night, 1497.55,   11.27
"200507NH","   28.00","   90.00","2005-07-08","2005-07-07","09:59",Day," 3850.15",    3.21
"200507NH","   30.00","   90.00","2005-07-08","2005-07-07","06:39",Day, 2231.99,"   54.20"
"200507NH","   35.00","   90.00","2005-07-08","2005-07-07","02:09",Night,  369.19,"    1.08"
"200507NH","   55.00","   80.00","2005-07-08","2005-07-13","00:42",Night,  344.25,"    0.56"
"200507NH","   70.00","   80.00","2005-07-08","2005-07-13","11:10",Day,11338.68,   35.32
"200507NH","   60.00","   80.00","2005-07-08","2005-07-13","03:49",Night, 2746.73,    2.53
"200511NH","   35.00","   90.00","2005-11-12","2005-11-07",23:14,Night,"  804.06",    1.35
"200511NH","  120.00","   90.00","2005-11-12","2005-11-08","20:07",Night, 1244.12,    3.56
"200511NH","   28.00","   90.00","2005-11-12","2005-11-08",12:37,Day, 2261.57,    2.23
"200511NH","   30.00","   90.00","2005-11-12","2005-11-08","05:41",Day, 4412.95,   43.15
"200511NH","  110.00","   90.00","2005-11-12","2005-11-09","03:15",Night, 1687.38,    8.96
"200511NH","  100.00","   90.00","2005-11-12","2005-11-09","08:38",Day," 7540.43","   54.00"
"200511NH","   90.00","   90.00","2005-11-12","2005-11-09","20:57",Night,"  305.07","    0.42"
"200511NH","   80.00","   90.00","2005-11-12","2005-11-10","02:11",Night,  167.21,    1.72
"200511NH","   37.00","   90.00","2005-11-12","2005-11-10",18:23,Night, 1279.74,    3.89
"200511NH","   45.00","   90.00","2005-11-12","2005-11-10",14:47,Day, 1395.55,    1.66
"200511NH","   53.00","   90.00","2005-11-12","2005-11-10","10:29",Day," 2500.13",    9.88
"200511NH","   60.00","   90.00","2005-11-12","2005-11-10","07:35",Day,   44.58,"    0.06"
"200511NH","   70.00","   90.00","2005-11-12","2005-11-10","07:35",Day,  219.75,"    0.30"
"200511NH","   51.00","   80.00","2005-11-12","2005-11-17","01:29",Night,"  504.65","    0.33"
"200511NH","   70.00","   80.00","2005-11-12","2005-11-17",16:22,Day," 4091.03",   26.14
"200511NH","   80.00","   80.00","2005-11-12","2005-11-17",22:33,Night,"10000.71","   30.07"
"200511NH","   60.00","   80.00","2005-11-12","2005-11-17","08:45",Day, 4188.52,"   30.65"
"200511NH","   55.00","   80.00","2005-11-12","2005-11-17","05:25",Night," 3517.60",    3.87
"200511NH","  100.00","   80.00","2005-11-12","2005-11-18",11:25,Day, 2523.68,    8.86
"200511NH","   90.00","   80.00","2005-11-12","2005-11-18","04:53",Night,"39300.76",  111.53
"200602JD","  120.00","   90.00","2006-02-12","2006-02-07","07:35",Day,"  603.31","    0.60"
"200602JD","  110.00","   90.00","2006-02-12","2006-02-07","16:02",Day,  166.83,"    0.42"
"200602JD","  100.00","   90.00","2006-02-12","2006-02-07","22:20",Night," 1007.90",    1.89
"200602JD","   80.00","   90.00","2006-02-12","2006-02-08",11:32,Day,"  400.07",   19.73
"200602JD","   70.00","   90.00","2006-02-12","2006-02-08",17:36,Day,"  709.82","    0.42"
"200602JD","   90.00","   90.00","2006-02-12","2006-02-08","04:56",Night,  129.94,    1.44
"200602JD","   37.00","   90.00","2006-02-12","2006-02-09",16:33,Day,  551.52,    4.62
"200602JD","   45.00","   90.00","2006-02-12","2006-02-09","11:00",Day, 2342.21,    8.35
"200602JD","   53.00","   90.00","2006-02-12","2006-02-09","05:27",Night,"  936.08","    0.87"
"200602JD","   60.00","   90.00","2006-02-12","2006-02-09","00:28",Night,  271.38,"    0.13"
"200602JD","   35.00","   90.00","2006-02-12","2006-02-09","19:40",Night," 1033.66","   10.28"
"200602JD","   30.00","   90.00","2006-02-12","2006-02-09","23:50",Night,  613.66,"    0.35"
"200602JD","   28.00","   90.00","2006-02-12","2006-02-10","02:29",Night, 1786.52,    1.18
"200602JD","   55.00","   80.00","2006-02-12","2006-02-16","06:50",Day,"    0.00","    0.00"
"200602JD","   60.00","   80.00","2006-02-12","2006-02-16",11:29,Day,"  609.10",    2.97
"200602JD","   51.00","   80.00","2006-02-12","2006-02-16","03:08",Night, 2677.85,    1.56
"200602JD","  100.00","   80.00","2006-02-12","2006-02-17",12:28,Day,"  731.00",    2.18
"200604NH","  110.00","   90.00","2006-04-10","2006-04-05",12:24,Day,  881.97,"   16.60"
"200604NH","  100.00","   90.00","2006-04-10","2006-04-05",19:51,Night, 1421.91,"   20.81"
"200604NH","   90.00","   90.00","2006-04-10","2006-04-06","02:18",Night, 3118.54,   39.38
"200604NH","   60.00","   90.00","2006-04-10","2006-04-06",22:53,Night, 2182.82,    3.24
