 Extracted on 12-Jul-2023 Mark Ohman lab SIO 
Station values of  pyrosomes  Day + Night Line 80 and Line 90 All Cruises
Cruise,Station,Line,"Cruise mid-date","Station date","Local time (PST)","Day or Night","Abundance (No. per m2)","Estimated C Biomass (mgC m-2)"
"200507NH","  110.00","   90.00","2005-07-08","2005-07-04",21:37,Night,    8.21,   33.92
"200507NH","  120.00","   90.00","2005-07-08","2005-07-04","15:30",Day,"    0.00","    0.00"
"200507NH","   80.00","   90.00","2005-07-08","2005-07-05",18:12,Day,"    0.00","    0.00"
"200507NH","   90.00","   90.00","2005-07-08","2005-07-05","11:50",Day,"    0.00","    0.00"
"200507NH","  100.00","   90.00","2005-07-08","2005-07-05","04:09",Night,"    0.00","    0.00"
"200507NH","   37.00","   90.00","2005-07-08","2005-07-06",23:43,Night,"    0.00","    0.00"
"200507NH","   45.00","   90.00","2005-07-08","2005-07-06",18:12,Day,"    0.00","    0.00"
"200507NH","   53.00","   90.00","2005-07-08","2005-07-06",12:26,Day,"    0.00","    0.00"
"200507NH","   60.00","   90.00","2005-07-08","2005-07-06","08:20",Day,"    0.00","    0.00"
"200507NH","   70.00","   90.00","2005-07-08","2005-07-06","00:46",Night,"    0.00","    0.00"
"200507NH","   28.00","   90.00","2005-07-08","2005-07-07","09:59",Day,"    0.00","    0.00"
"200507NH","   30.00","   90.00","2005-07-08","2005-07-07","06:39",Day,"    0.00","    0.00"
"200507NH","   35.00","   90.00","2005-07-08","2005-07-07","02:09",Night,"    0.00","    0.00"
"200507NH","   70.00","   80.00","2005-07-08","2005-07-13","11:10",Day,"    0.00","    0.00"
"200507NH","   60.00","   80.00","2005-07-08","2005-07-13","03:49",Night,"    0.00","    0.00"
"200507NH","   55.00","   80.00","2005-07-08","2005-07-13","00:42",Night,"    0.00","    0.00"
"200511NH","   35.00","   90.00","2005-11-12","2005-11-07",23:14,Night,"    0.00","    0.00"
"200511NH","   30.00","   90.00","2005-11-12","2005-11-08","05:41",Day,"    0.00","    0.00"
"200511NH","   28.00","   90.00","2005-11-12","2005-11-08",12:37,Day,"    0.00","    0.00"
"200511NH","  120.00","   90.00","2005-11-12","2005-11-08","20:07",Night,"    0.00","    0.00"
"200511NH","  100.00","   90.00","2005-11-12","2005-11-09","08:38",Day,"    0.00","    0.00"
"200511NH","   90.00","   90.00","2005-11-12","2005-11-09","20:57",Night,"    0.00","    0.00"
"200511NH","  110.00","   90.00","2005-11-12","2005-11-09","03:15",Night,"    0.00","    0.00"
"200511NH","   45.00","   90.00","2005-11-12","2005-11-10",14:47,Day,"    0.00","    0.00"
"200511NH","   80.00","   90.00","2005-11-12","2005-11-10","02:11",Night,"    0.00","    0.00"
"200511NH","   70.00","   90.00","2005-11-12","2005-11-10","07:35",Day,"    0.00","    0.00"
"200511NH","   60.00","   90.00","2005-11-12","2005-11-10","07:35",Day,"    0.00","    0.00"
"200511NH","   53.00","   90.00","2005-11-12","2005-11-10","10:29",Day,"    0.00","    0.00"
"200511NH","   37.00","   90.00","2005-11-12","2005-11-10",18:23,Night,"    0.00","    0.00"
"200511NH","   60.00","   80.00","2005-11-12","2005-11-17","08:45",Day,"    0.00","    0.00"
"200511NH","   51.00","   80.00","2005-11-12","2005-11-17","01:29",Night,"    0.00","    0.00"
"200511NH","   55.00","   80.00","2005-11-12","2005-11-17","05:25",Night,"    0.00","    0.00"
"200511NH","   80.00","   80.00","2005-11-12","2005-11-17",22:33,Night,"    0.00","    0.00"
"200511NH","   70.00","   80.00","2005-11-12","2005-11-17",16:22,Day,"    0.00","    0.00"
"200511NH","  100.00","   80.00","2005-11-12","2005-11-18",11:25,Day,"    0.00","    0.00"
"200511NH","   90.00","   80.00","2005-11-12","2005-11-18","04:53",Night,"    0.00","    0.00"
"200602JD","  100.00","   90.00","2006-02-12","2006-02-07","22:20",Night,"    0.00","    0.00"
"200602JD","  120.00","   90.00","2006-02-12","2006-02-07","07:35",Day,"    0.00","    0.00"
"200602JD","  110.00","   90.00","2006-02-12","2006-02-07","16:02",Day,"    0.00","    0.00"
"200602JD","   90.00","   90.00","2006-02-12","2006-02-08","04:56",Night,"    0.00","    0.00"
"200602JD","   80.00","   90.00","2006-02-12","2006-02-08",11:32,Day,"    0.00","    0.00"
"200602JD","   70.00","   90.00","2006-02-12","2006-02-08",17:36,Day,"    0.00","    0.00"
"200602JD","   60.00","   90.00","2006-02-12","2006-02-09","00:28",Night,"    0.00","    0.00"
"200602JD","   53.00","   90.00","2006-02-12","2006-02-09","05:27",Night,"    0.00","    0.00"
"200602JD","   45.00","   90.00","2006-02-12","2006-02-09","11:00",Day,"    0.00","    0.00"
"200602JD","   35.00","   90.00","2006-02-12","2006-02-09","19:40",Night,"    0.00","    0.00"
"200602JD","   30.00","   90.00","2006-02-12","2006-02-09","23:50",Night,"    0.00","    0.00"
"200602JD","   37.00","   90.00","2006-02-12","2006-02-09",16:33,Day,"    0.00","    0.00"
"200602JD","   28.00","   90.00","2006-02-12","2006-02-10","02:29",Night,"    0.00","    0.00"
"200602JD","   60.00","   80.00","2006-02-12","2006-02-16",11:29,Day,"    0.00","    0.00"
"200602JD","   55.00","   80.00","2006-02-12","2006-02-16","06:50",Day,"    0.00","    0.00"
"200602JD","   51.00","   80.00","2006-02-12","2006-02-16","03:08",Night,"    0.00","    0.00"
"200602JD","  100.00","   80.00","2006-02-12","2006-02-17",12:28,Day,"    0.00","    0.00"
"200604NH","  100.00","   90.00","2006-04-10","2006-04-05",19:51,Night,"    0.00","    0.00"
"200604NH","  110.00","   90.00","2006-04-10","2006-04-05",12:24,Day,"    0.00","    0.00"
"200604NH","   80.00","   90.00","2006-04-10","2006-04-06","07:58",Day,"    0.00","    0.00"
"200604NH","   70.00","   90.00","2006-04-10","2006-04-06","16:04",Day,"    0.00","    0.00"
"200604NH","   90.00","   90.00","2006-04-10","2006-04-06","02:18",Night,"    0.00","    0.00"
"200604NH","   60.00","   90.00","2006-04-10","2006-04-06",22:53,Night,"    0.00","    0.00"
"200604NH","   35.00","   90.00","2006-04-10","2006-04-07",18:48,Day,"    0.00","    0.00"
"200604NH","   37.00","   90.00","2006-04-10","2006-04-07",15:39,Day,"    0.00","    0.00"
"200604NH","   30.00","   90.00","2006-04-10","2006-04-07","00:53",Night,"    0.00","    0.00"
"200604NH","   53.00","   90.00","2006-04-10","2006-04-07","04:15",Night,"    0.00","    0.00"
"200604NH","   45.00","   90.00","2006-04-10","2006-04-07","08:45",Day,"    0.00","    0.00"
"200604NH","   28.00","   90.00","2006-04-10","2006-04-08","03:57",Night,"    0.00","    0.00"
"200604NH","   51.00","   80.00","2006-04-10","2006-04-13","17:05",Day,"    0.00","    0.00"
"200604NH","   55.00","   80.00","2006-04-10","2006-04-13","20:54",Night,"    0.00","    0.00"
"200604NH","   90.00","   80.00","2006-04-10","2006-04-14",22:11,Night,"    0.00","    0.00"
"200604NH","   70.00","   80.00","2006-04-10","2006-04-14","06:14",Day,"    0.00","    0.00"
"200604NH","   60.00","   80.00","2006-04-10","2006-04-14","01:11",Night,"    0.00","    0.00"
"200604NH","   80.00","   80.00","2006-04-10","2006-04-14","15:50",Day,"    0.00","    0.00"
"200604NH","  100.00","   80.00","2006-04-10","2006-04-15","04:20",Night,"    0.00","    0.00"
"200607NH","  120.00","   90.00","2006-07-16","2006-07-11","18:08",Day,"    0.00","    0.00"
"200607NH","   80.00","   90.00","2006-07-16","2006-07-12",22:35,Night,"    0.00","    0.00"
