 Extracted on 12-Jul-2023 Mark Ohman lab SIO 
Station values of  rhizaria  Day + Night Line 80 and Line 90 All Cruises
Cruise,Station,Line,"Cruise mid-date","Station date","Local time (PST)","Day or Night","Abundance (No. per m2)","Estimated C Biomass (mgC m-2)"
"200507NH","  120.00","   90.00","2005-07-08","2005-07-04","15:30",Day,  132.66,"    0.06"
"200507NH","  110.00","   90.00","2005-07-08","2005-07-04",21:37,Night,"  313.01","    0.20"
"200507NH","   80.00","   90.00","2005-07-08","2005-07-05",18:12,Day,  211.91,"    0.06"
"200507NH","   90.00","   90.00","2005-07-08","2005-07-05","11:50",Day,"   70.50","    0.04"
"200507NH","  100.00","   90.00","2005-07-08","2005-07-05","04:09",Night,   16.84,"    0.01"
"200507NH","   37.00","   90.00","2005-07-08","2005-07-06",23:43,Night, 7438.56,    2.19
"200507NH","   45.00","   90.00","2005-07-08","2005-07-06",18:12,Day,   89.71,"    0.06"
"200507NH","   53.00","   90.00","2005-07-08","2005-07-06",12:26,Day," 3041.24","    1.05"
"200507NH","   60.00","   90.00","2005-07-08","2005-07-06","08:20",Day,  299.86,"    0.15"
"200507NH","   70.00","   90.00","2005-07-08","2005-07-06","00:46",Night,  374.39,"    0.15"
"200507NH","   28.00","   90.00","2005-07-08","2005-07-07","09:59",Day,"  700.03","    0.22"
"200507NH","   30.00","   90.00","2005-07-08","2005-07-07","06:39",Day,"13019.93",    5.16
"200507NH","   35.00","   90.00","2005-07-08","2005-07-07","02:09",Night, 6922.23,    3.25
"200507NH","   60.00","   80.00","2005-07-08","2005-07-13","03:49",Night,  915.58,"    0.22"
"200507NH","   55.00","   80.00","2005-07-08","2005-07-13","00:42",Night,"    0.00","    0.00"
"200507NH","   70.00","   80.00","2005-07-08","2005-07-13","11:10",Day,  534.77,"    0.14"
"200511NH","   35.00","   90.00","2005-11-12","2005-11-07",23:14,Night,  231.94,"    0.09"
"200511NH","  120.00","   90.00","2005-11-12","2005-11-08","20:07",Night,   67.86,"    0.03"
"200511NH","   28.00","   90.00","2005-11-12","2005-11-08",12:37,Day,  347.93,"    0.11"
"200511NH","   30.00","   90.00","2005-11-12","2005-11-08","05:41",Day," 2091.53","    0.91"
"200511NH","  100.00","   90.00","2005-11-12","2005-11-09","08:38",Day,"    0.00","    0.00"
"200511NH","  110.00","   90.00","2005-11-12","2005-11-09","03:15",Night,   38.79,"    0.01"
"200511NH","   90.00","   90.00","2005-11-12","2005-11-09","20:57",Night,"   30.51","    0.01"
"200511NH","   80.00","   90.00","2005-11-12","2005-11-10","02:11",Night,"    0.00","    0.00"
"200511NH","   70.00","   90.00","2005-11-12","2005-11-10","07:35",Day,"    0.00","    0.00"
"200511NH","   37.00","   90.00","2005-11-12","2005-11-10",18:23,Night,  391.73,"    0.29"
"200511NH","   45.00","   90.00","2005-11-12","2005-11-10",14:47,Day,"  507.47","    0.14"
"200511NH","   53.00","   90.00","2005-11-12","2005-11-10","10:29",Day,  577.95,"    0.20"
"200511NH","   60.00","   90.00","2005-11-12","2005-11-10","07:35",Day,    4.46,"    0.00"
"200511NH","   51.00","   80.00","2005-11-12","2005-11-17","01:29",Night,  252.32,"    0.12"
"200511NH","   80.00","   80.00","2005-11-12","2005-11-17",22:33,Night," 6217.10","    2.10"
"200511NH","   55.00","   80.00","2005-11-12","2005-11-17","05:25",Night, 2787.63,    1.16
"200511NH","   70.00","   80.00","2005-11-12","2005-11-17",16:22,Day, 7488.86,    2.97
"200511NH","   60.00","   80.00","2005-11-12","2005-11-17","08:45",Day,12727.73,"    4.90"
"200511NH","   90.00","   80.00","2005-11-12","2005-11-18","04:53",Night, 1392.27,"    0.46"
"200511NH","  100.00","   80.00","2005-11-12","2005-11-18",11:25,Day,   46.22,"    0.02"
"200602JD","  100.00","   90.00","2006-02-12","2006-02-07","22:20",Night,  839.92,"    0.33"
"200602JD","  110.00","   90.00","2006-02-12","2006-02-07","16:02",Day,"   20.85","    0.01"
"200602JD","  120.00","   90.00","2006-02-12","2006-02-07","07:35",Day,"  193.06","    0.14"
"200602JD","   70.00","   90.00","2006-02-12","2006-02-08",17:36,Day,"   98.04","    0.07"
"200602JD","   80.00","   90.00","2006-02-12","2006-02-08",11:32,Day,"  400.07","    0.30"
"200602JD","   90.00","   90.00","2006-02-12","2006-02-08","04:56",Night,   32.48,"    0.01"
"200602JD","   30.00","   90.00","2006-02-12","2006-02-09","23:50",Night,  358.91,"    0.11"
"200602JD","   35.00","   90.00","2006-02-12","2006-02-09","19:40",Night,  748.42,"    0.25"
"200602JD","   37.00","   90.00","2006-02-12","2006-02-09",16:33,Day,  434.85,"    0.24"
"200602JD","   45.00","   90.00","2006-02-12","2006-02-09","11:00",Day," 1171.10","    0.41"
"200602JD","   53.00","   90.00","2006-02-12","2006-02-09","05:27",Night,  718.71,"    0.46"
"200602JD","   60.00","   90.00","2006-02-12","2006-02-09","00:28",Night," 1085.51","    0.46"
"200602JD","   28.00","   90.00","2006-02-12","2006-02-10","02:29",Night,  356.37,"    0.17"
"200602JD","   60.00","   80.00","2006-02-12","2006-02-16",11:29,Day," 1081.90","    0.50"
"200602JD","   55.00","   80.00","2006-02-12","2006-02-16","06:50",Day,  578.16,"    0.20"
"200602JD","   51.00","   80.00","2006-02-12","2006-02-16","03:08",Night,"    0.00","    0.00"
"200602JD","  100.00","   80.00","2006-02-12","2006-02-17",12:28,Day,"  428.40","    0.16"
"200604NH","  110.00","   90.00","2006-04-10","2006-04-05",12:24,Day,  251.99,"    0.53"
"200604NH","  100.00","   90.00","2006-04-10","2006-04-05",19:51,Night,  284.38,"    0.10"
"200604NH","   60.00","   90.00","2006-04-10","2006-04-06",22:53,Night," 4002.64","    2.03"
"200604NH","   70.00","   90.00","2006-04-10","2006-04-06","16:04",Day,  924.96,"    0.42"
"200604NH","   80.00","   90.00","2006-04-10","2006-04-06","07:58",Day," 1148.80","    0.64"
"200604NH","   90.00","   90.00","2006-04-10","2006-04-06","02:18",Night,  218.62,"    0.12"
"200604NH","   30.00","   90.00","2006-04-10","2006-04-07","00:53",Night, 5955.87,    2.84
"200604NH","   35.00","   90.00","2006-04-10","2006-04-07",18:48,Day, 2855.12,    1.28
"200604NH","   37.00","   90.00","2006-04-10","2006-04-07",15:39,Day,"  509.89","    0.34"
"200604NH","   45.00","   90.00","2006-04-10","2006-04-07","08:45",Day," 1802.02","    0.54"
"200604NH","   53.00","   90.00","2006-04-10","2006-04-07","04:15",Night,  348.22,"    0.12"
"200604NH","   28.00","   90.00","2006-04-10","2006-04-08","03:57",Night," 1969.80","    0.71"
"200604NH","   51.00","   80.00","2006-04-10","2006-04-13","17:05",Day,"    0.00","    0.00"
"200604NH","   55.00","   80.00","2006-04-10","2006-04-13","20:54",Night,"    0.00","    0.00"
"200604NH","   60.00","   80.00","2006-04-10","2006-04-14","01:11",Night,"    0.00","    0.00"
"200604NH","   70.00","   80.00","2006-04-10","2006-04-14","06:14",Day,  231.33,"    0.08"
"200604NH","   80.00","   80.00","2006-04-10","2006-04-14","15:50",Day,  794.56,"    0.27"
"200604NH","   90.00","   80.00","2006-04-10","2006-04-14",22:11,Night,  322.39,"    0.10"
"200604NH","  100.00","   80.00","2006-04-10","2006-04-15","04:20",Night,   63.39,"    0.02"
"200607NH","  120.00","   90.00","2006-07-16","2006-07-11","18:08",Day,"   92.70","    0.08"
"200607NH","   90.00","   90.00","2006-07-16","2006-07-12","16:06",Day,   38.36,"    0.01"
"200607NH","  110.00","   90.00","2006-07-16","2006-07-12","00:59",Night,   82.38,"    0.03"
"200607NH","   80.00","   90.00","2006-07-16","2006-07-12",22:35,Night," 1393.05","    0.60"
"200607NH","  100.00","   90.00","2006-07-16","2006-07-12","08:03",Day,  232.28,"    0.08"
"200607NH","   60.00","   90.00","2006-07-16","2006-07-13",11:48,Day,  278.95,"    0.08"
"200607NH","   53.00","   90.00","2006-07-16","2006-07-13",17:27,Day,  968.26,"    0.37"
"200607NH","   45.00","   90.00","2006-07-16","2006-07-13",23:11,Night,  686.59,"    0.24"
"200607NH","   70.00","   90.00","2006-07-16","2006-07-13","05:14",Day,"   99.50","    0.06"
"200607NH","   30.00","   90.00","2006-07-16","2006-07-14","14:07",Day,"    0.00","    0.00"
"200607NH","   35.00","   90.00","2006-07-16","2006-07-14","08:00",Day," 1967.08","    0.75"
"200607NH","   28.00","   90.00","2006-07-16","2006-07-14","17:05",Day," 1097.51","    0.41"
"200607NH","   37.00","   90.00","2006-07-16","2006-07-14","05:00",Day,  952.71,"    0.46"
"200607NH","   60.00","   80.00","2006-07-16","2006-07-20",23:38,Night," 8207.25",    3.87
"200607NH","   51.00","   80.00","2006-07-16","2006-07-20",14:57,Day,14396.32,    6.75
"200607NH","   55.00","   80.00","2006-07-16","2006-07-20","18:50",Day,"12035.21","    8.60"
"200607NH","   70.00","   80.00","2006-07-16","2006-07-21","05:18",Day,"19200.28",    9.98
"200607NH","   80.00","   80.00","2006-07-16","2006-07-21",11:23,Day,"    0.00","    0.00"
"200607NH","   90.00","   80.00","2006-07-16","2006-07-21",17:56,Day, 9657.99,    3.83
"200607NH","  100.00","   80.00","2006-07-16","2006-07-22","00:03",Night,"    0.00","    0.00"
"200610RR","  120.00","   90.00","2006-10-29","2006-10-24","16:20",Day,"   86.30","    0.03"
"200610RR","  110.00","   90.00","2006-10-29","2006-10-24",22:24,Night,"   10.83","    0.00"
"200610RR","   70.00","   90.00","2006-10-29","2006-10-25",22:22,Night,   57.45,"    0.01"
"200610RR","   80.00","   90.00","2006-10-29","2006-10-25",16:29,Day,"  205.96","    0.31"
"200610RR","   90.00","   90.00","2006-10-29","2006-10-25","10:36",Day,"  650.55","    0.53"
"200610RR","  100.00","   90.00","2006-10-29","2006-10-25","04:24",Night,"  103.06","    0.04"
"200610RR","   53.00","   90.00","2006-10-29","2006-10-26","08:29",Day,  627.39,"    0.64"
"200610RR","   37.00","   90.00","2006-10-29","2006-10-26",21:21,Night,"  284.03","    0.09"
"200610RR","   60.00","   90.00","2006-10-29","2006-10-26","04:24",Night,"    0.00","    0.00"
"200610RR","   45.00","   90.00","2006-10-29","2006-10-26",15:55,Day,  311.58,"    0.18"
"200610RR","   30.00","   90.00","2006-10-29","2006-10-27","05:05",Night,"  400.88","    0.16"
"200610RR","   28.00","   90.00","2006-10-29","2006-10-27","08:30",Day,  142.15,"    0.12"
