plot_type,plot,plot_2,type,Confi,HW,Shrub,Herb,f.a,Gram,Perc_cvr,major_species
1 00u,1 00,1_00,u,1,1,0,0,0,0,1,"WP, AC, RM"
1 00g,1 00,1_00,g,0,0,1,0,0,0,3,HLB
1 01u,1 01,1_01,u,1,0,0,0,0,0,1,WP
1 01g,1 01,1_01,g,1,0,1,0,0,0,1,WP
1 03u,1 03,1_03,u,1,1,0,0,0,0,1,
1 03g,1 03,1_03,g,0,1,1,0,0,0,2,"BLB, Slash "
1 07u,1 07,1_07,u,1,1,0,0,0,0,1,WP
1 07g,1 07,1_07,g,0,0,1,0,0,0,,BLB
1 09u,1 09,1_09,u,1,1,0,0,0,0,2,"WP, AC, RM"
1 09g,1 09,1_09,g,0,0,1,0,0,0,3,HLB
1 13u,1 13,1_13,u,1,0,0,0,0,0,2,WP
1 13g,1 13,1_13,g,0,0,1,0,1,0,2,CF
1 19u,1 19,1_19,u,1,0,0,0,0,0,1,
1 19g,1 19,1_19,g,0,0,1,0,0,0,,HLB
1 23u,1 23,1_23,u,0,1,0,0,0,0,2,AC
1 23g,1 23,1_23,g,0,0,1,0,0,0,2,HLB
1 28u,1 28,1_28,u,1,0,0,0,0,0,1,"WP, Sp"
1 28g,1 28,1_28,g,0,0,0,0,1,0,1,"NYF, HSF"
1 29u,1 29,1_29,u,0,1,1,0,0,0,,ML
1 29g,1 29,1_29,g,0,0,1,0,1,0,,"ML, BLB"
1 30u,1 30,1_30,u,1,1,0,0,0,0,1,"WP, BB"
1 30g,1 30,1_30,g,0,0,0,1,1,0,1,"HSF, CaM (patchy)"
1 31u,1 31,1_31,u,1,1,0,0,0,0,1,Sparse
1 31g,1 31,1_31,g,0,0,1,0,1,0,4,HSF
1 32u,1 32,1_32,u,1,1,0,0,0,0,1,WP
1 32g,1 32,1_32,g,0,1,1,0,0,0,4,"BLB, Oaks, AC"
1 33u,1 33,1_33,u,1,1,0,0,0,0,1,
1 33g,1 33,1_33,g,0,1,0,0,1,0,4,"HSF, slash covered by ferns"
1 34u,1 34,1_34,u,0,0,1,0,0,0,1,WH
1 34g,1 34,1_34,g,0,0,0,0,1,0,4,"HSF, osmunda fern"
1 38u,1 38,1_38,u,1,1,0,0,1,0,1,WP
1 38g,1 38,1_38,g,0,0,0,0,1,0,1,Slash
1 40u,1 40,1_40,u,1,1,0,0,0,0,2,WP
1 40g,1 40,1_40,g,1,0,1,0,0,0,3,"WP, HLB"
1 40u,1 40,1_40,u,1,1,0,0,0,0,2,
1 40g,1 40,1_40,g,1,0,1,0,0,0,1,"HLB, BLB, WP"
1 45u,1 45,1_45,u,0,1,0,0,0,0,2,"BB, RM, AC"
1 45g,1 45,1_45,g,0,1,1,0,0,0,1,"BLB, HLB, ML"
1 46u,1 46,1_46,u,1,1,0,0,0,0,1,"BB, WP"
1 46g,1 46,1_46,g,0,0,1,0,1,0,3,HSF
1 47u,1 47,1_47,u,0,1,0,0,0,0,1,BB
1 47g,1 47,1_47,g,0,1,1,0,1,0,3,"HSF, BB"
1 50u,1 50,1_50,u,1,1,0,0,0,0,1,"WP, HLB, ML"
1 50g,1 50,1_50,g,0,1,1,0,0,0,3,"Maples, HLB"
1 51u,1 51,1_51,u,1,1,1,0,0,0,2,"WH, WP, ML"
1 51g,1 51,1_51,g,0,0,0,0,1,0,1,HSF
1 52u,1 52,1_52,u,0,1,0,0,0,0,2,"RM, BB"
