"","id","sitenum","steady","colnum","mins","mags","magsdiv","recov.rate","recov.time","dpy1","dpy2"
"1","0",1,269,12,268,1,0.00371747211895911,-1.00000000000004,-0.999999999999963,0,0
"2","1",2,243,12,240,3,0.0123456790123457,0.771929824561401,3.88636363636365,0,0
"3","2",3,295,12,249,46,0.155932203389831,-3.49999999999997,-13.1428571428573,0,0
"4","3",4,311.5,12,312,-0.5,-0.00160513643659711,NA,NA,0,0
"5","4",5,321,12,229,92,0.286604361370716,-4.49999999999996,-20.4444444444446,1,0
"6","5",6,312,12,329,-17,-0.0544871794871795,NA,NA,0,0
"7","6",7,303,12,297,6,0.0198019801980198,-1.74561403508772,-3.43718592964825,0,0
"8","7",8,285,12,291,-6,-0.0210526315789474,NA,NA,0,0
"9","8",9,229,12,264,-35,-0.152838427947598,NA,NA,0,0
"10","9",10,315,12,315,0,0,NA,NA,0,0
"11","0000000000000000000a",11,6.33333333333333,13,0,6.33333333333333,1,3.5,1.80952380952381,0,1
"12","0000000000000000000b",12,292.333333333333,12,226,66.3333333333333,0.22690992018244,6.92982456140351,9.57215189873418,1,0
"13","0000000000000000000c",13,297.333333333333,12,193,104.333333333333,0.350896860986547,13.3070175438597,7.84047462096242,1,0
"14","0000000000000000000d",14,296.666666666667,12,174,122.666666666667,0.413483146067416,15.8157894736842,7.75596228508042,1,0
"15","0000000000000000000e",15,6,13,0,6,1,0.686046511627907,8.74576271186441,0,0
"16","0000000000000000000f",16,271.5,12,269,2.5,0.00920810313075507,-8.00000000000002,-0.312499999999999,0,0
"17","10",17,262,12,268,-6,-0.0229007633587786,NA,NA,0,0
"18","11",18,216,12,232,-16,-0.0740740740740741,NA,NA,0,0
"19","12",19,244,12,168,76,0.311475409836066,31.2142857142857,2.43478260869565,1,0
"20","13",20,311.666666666667,12,184,127.666666666667,0.409625668449198,13.7719298245614,9.27006369426752,1,0
"21","14",21,278.333333333333,12,172,106.333333333333,0.382035928143713,32,3.32291666666667,1,0
"22","15",22,308,12,310,-2,-0.00649350649350649,NA,NA,0,0
"23","16",23,311.5,12,307,4.5,0.014446227929374,2.85964912280699,1.57361963190185,0,0
"24","17",24,262,12,288,-26,-0.099236641221374,NA,NA,0,0
"25","18",25,316.666666666667,12,322,-5.33333333333331,-0.0168421052631578,NA,NA,0,0
"26","19",26,273.5,12,323,-49.5,-0.180987202925046,NA,NA,0,0
"27","0000000000000000001a",27,319.5,12,240,79.5,0.248826291079812,18.2543859649123,4.35511773185968,1,0
"28","0000000000000000001b",28,301.333333333333,13,203,98.3333333333333,0.326327433628319,59.9999999999999,1.63888888888889,0,1
"29","0000000000000000001c",29,168.666666666667,13,155,13.6666666666667,0.0810276679841897,52.5,0.26031746031746,0,1
"30","0000000000000000001d",30,312.666666666667,12,199,113.666666666667,0.363539445628998,21.5614035087719,5.27176566314076,1,0
"31","0000000000000000001e",31,286,12,175,111,0.388111888111888,18.8333333333333,5.89380530973451,1,0
"32","0000000000000000001f",32,287,12,211,76,0.264808362369338,13.9561403508772,5.44563167818982,1,0
"33","20",33,302.666666666667,12,233,69.6666666666667,0.230176211453745,14.1578947368421,4.92069392812887,0,0
"34","21",34,313,12,311,2,0.00638977635782748,4.73684210526317,0.422222222222221,0,0
"35","22",35,332.333333333333,13,243,89.3333333333333,0.268806419257773,15.0232558139535,5.94633642930856,0,1
