system:index,2005-04-15_score_stddev,2005-05-15_score_stddev,2005-06-15_score_stddev,2005-07-15_score_stddev,2005-08-15_score_stddev,2006-04-15_score_stddev,2006-05-15_score_stddev,2006-06-15_score_stddev,2006-07-15_score_stddev,2006-08-15_score_stddev,2007-04-15_score_stddev,2007-05-15_score_stddev,2007-06-15_score_stddev,2007-07-15_score_stddev,2007-08-15_score_stddev,2008-04-15_score_stddev,2008-05-15_score_stddev,2008-06-15_score_stddev,2008-07-15_score_stddev,2008-08-15_score_stddev,2009-04-15_score_stddev,2009-05-15_score_stddev,2009-06-15_score_stddev,2009-07-15_score_stddev,2009-08-15_score_stddev,2010-04-15_score_stddev,2010-05-15_score_stddev,2010-06-15_score_stddev,2010-07-15_score_stddev,2010-08-15_score_stddev,2011-04-15_score_stddev,2011-05-15_score_stddev,2011-06-15_score_stddev,2011-07-15_score_stddev,2011-08-15_score_stddev,2012-04-15_score_stddev,2012-05-15_score_stddev,2012-06-15_score_stddev,2012-07-15_score_stddev,2012-08-15_score_stddev,2013-04-15_score_stddev,2013-05-15_score_stddev,2013-06-15_score_stddev,2013-07-15_score_stddev,2013-08-15_score_stddev,2014-04-15_score_stddev,2014-05-15_score_stddev,2014-06-15_score_stddev,2014-07-15_score_stddev,2014-08-15_score_stddev,2015-04-15_score_stddev,2015-05-15_score_stddev,2015-06-15_score_stddev,2015-07-15_score_stddev,2015-08-15_score_stddev,2016-04-15_score_stddev,2016-05-15_score_stddev,2016-06-15_score_stddev,2016-07-15_score_stddev,2016-08-15_score_stddev,2017-04-15_score_stddev,2017-05-15_score_stddev,2017-06-15_score_stddev,2017-07-15_score_stddev,2017-08-15_score_stddev,2018-04-15_score_stddev,2018-05-15_score_stddev,2018-06-15_score_stddev,2018-07-15_score_stddev,2018-08-15_score_stddev,2019-04-15_score_stddev,2019-05-15_score_stddev,2019-06-15_score_stddev,2019-07-15_score_stddev,2019-08-15_score_stddev,2020-04-15_score_stddev,2020-05-15_score_stddev,2020-06-15_score_stddev,2020-07-15_score_stddev,2020-08-15_score_stddev,2021-04-15_score_stddev,2021-05-15_score_stddev,2021-06-15_score_stddev,2021-07-15_score_stddev,2021-08-15_score_stddev,2022-04-15_score_stddev,2022-05-15_score_stddev,2022-06-15_score_stddev,2022-07-15_score_stddev,2022-08-15_score_stddev,id,.geo
0,1218,1005,,1172,985,1540,1406,969,980,982,2006,988,978,954,1162,1051,787,310,,563,523,542,,425,467,701,644,650,500,573,939,,733,618,,445,,373,343,484,547,604,409,421,537,672,697,739,631,887,743,813,,735,857,830,1234,883,1259,958,904,862,,906,1015,1132,1023,1196,,,1400,1320,1479,1528,1502,,1647,,1843,1911,,1526,1432,,1548,1799,1728,1390,1322,,1,"{""type"":""Point"",""coordinates"":[-72.38961280747418,42.31862588301645]}"
1,1051,962,,994,888,1363,1298,1083,1049,982,1969,1154,1163,1080,1247,953,679,283,,573,424,528,,293,369,599,562,554,508,486,665,,572,401,,281,,234,270,528,414,433,244,229,380,487,459,394,283,563,545,506,,420,473,683,529,555,1067,628,745,382,,575,627,901,717,778,,,1207,1210,1386,1279,1309,,1428,,1559,1629,,1324,1257,,1344,1561,1561,1202,1072,,2,"{""type"":""Point"",""coordinates"":[-72.39003642207425,42.318465355378514]}"
2,845,454,,,233,830,878,692,1454,191,803,876,191,186,811,602,305,493,302,293,503,461,,427,429,631,581,719,476,545,573,498,683,460,,380,,593,671,776,501,753,,,684,584,568,740,594,598,906,612,,681,752,1270,1385,854,1293,987,711,443,,348,552,720,615,620,,,976,938,934,1162,1019,,1135,,1212,1249,,1073,1131,,,1056,1045,1061,1136,,3,"{""type"":""Point"",""coordinates"":[-72.37851856405321,42.32352197597313]}"
3,1033,437,,462,344,1036,1158,535,1259,458,1128,989,288,425,1938,657,354,550,243,175,418,471,,401,274,609,605,605,401,356,705,514,814,462,,313,,357,281,674,429,464,387,324,,465,473,718,508,,757,568,,512,611,943,1334,777,803,778,552,524,,611,554,924,731,872,,,1334,1119,1029,1407,1366,,1313,,1615,1656,,1327,1235,,,1550,1486,1230,1310,,4,"{""type"":""Point"",""coordinates"":[-72.37846505484056,42.32151983960013]}"
4,1194,586,598,564,508,1204,1082,879,774,711,1266,1045,688,550,663,736,577,,580,531,873,835,,1011,833,986,923,1021,828,893,991,,908,789,,,,574,647,744,645,889,684,810,873,753,859,1017,779,1004,768,,731,712,878,1547,2202,912,1173,1100,1085,1347,,1103,1223,1341,1108,1403,,,1714,1545,1760,1956,2000,,1978,,2325,2484,,1283,1255,,,1860,1549,1384,1167,,5,"{""type"":""Point"",""coordinates"":[-72.37580743061271,42.31827807313427]}"
5,1186,320,,231,136,985,,810,485,453,1276,357,384,374,544,824,417,795,292,481,455,495,,334,240,602,618,589,,429,726,,640,313,,304,,424,488,546,364,648,416,421,497,437,,1361,354,652,617,683,,713,758,1441,1065,1146,1441,1180,1087,890,,934,969,1154,998,1096,,,1249,1199,1271,2900,1321,,1478,,1673,1705,,1114,1065,,,1201,1380,1063,1032,1033,6,"{""type"":""Point"",""coordinates"":[-72.38739663425062,42.32410165911008]}"
6,1241,756,713,614,561,1011,1197,643,586,452,1122,1210,1299,438,761,564,387,,268,271,469,546,,387,341,663,650,634,395,525,788,,705,443,,,,329,443,662,,434,354,417,505,589,522,495,,740,863,,,608,669,1190,1499,695,1130,961,648,534,,320,579,694,470,547,,,876,715,632,1039,905,,774,,1009,1174,,940,859,,,901,1016,741,615,,7,"{""type"":""Point"",""coordinates"":[-72.37991426268293,42.31930812547762]}"
7,1039,243,,358,315,1094,1545,610,524,457,1339,1275,445,538,786,732,395,,300,335,508,845,,409,400,675,696,588,500,554,677,,949,405,,,,556,475,652,454,640,287,373,434,519,441,448,346,471,,,,483,506,1115,1285,710,759,755,729,546,,465,580,746,693,732,,,809,778,714,818,926,,905,,1024,1233,,994,864,,1032,1108,1059,829,821,,8,"{""type"":""Point"",""coordinates"":[-72.38580473517453,42.31988334951352]}"
8,795,315,,219,209,668,862,158,243,194,709,1166,136,155,770,592,305,322,156,277,379,602,,249,270,705,474,517,350,380,579,511,389,346,,355,,537,532,683,456,732,409,489,554,635,553,,497,674,802,616,,733,678,1243,1341,653,984,868,449,328,,262,194,662,235,219,,,468,309,266,649,421,,321,,415,442,,480,514,,,712,764,636,408,,9,"{""type"":""Point"",""coordinates"":[-72.38163547568956,42.32102933848425]}"
9,1076,489,,404,342,1060,1306,677,686,492,1169,1025,462,426,2027,681,401,501,292,280,561,652,,532,429,724,734,713,428,485,745,578,820,487,,281,,472,508,700,396,624,464,468,,483,470,763,581,,876,522,,489,531,1067,1041,698,858,744,659,462,,603,550,893,615,787,,,1097,925,849,1173,1133,,1144,,1371,1440,,1234,1136,,,1586,1504,1218,1319,,10,"{""type"":""Point"",""coordinates"":[-72.37851856405321,42.321287966345345]}"
