plot,plot_2,loc,size,RO,BO,WO,CO
1 00,1_00,N5,1,1,0,0,0
1 00,1_00,N5,2,0,0,0,0
1 00,1_00,N5,3,0,0,0,0
1 00,1_00,N10,1,1,0,0,0
1 00,1_00,N10,2,0,0,0,0
1 00,1_00,N10,3,0,0,0,0
1 00,1_00,E5,1,0,0,0,0
1 00,1_00,E5,2,0,0,0,0
1 00,1_00,E5,3,0,0,0,0
1 00,1_00,E10,1,1,0,0,0
1 00,1_00,E10,2,0,0,0,0
1 00,1_00,E10,3,0,0,0,0
1 00,1_00,S5,1,0,0,1,0
1 00,1_00,S5,2,0,0,0,0
1 00,1_00,S5,3,0,0,0,0
1 00,1_00,S10,1,1,0,1,0
1 00,1_00,S10,2,0,0,0,0
1 00,1_00,S10,3,0,0,0,0
1 00,1_00,W5,1,1,0,0,0
1 00,1_00,W5,2,0,0,0,0
1 00,1_00,W5,3,0,0,0,0
1 00,1_00,W10,1,1,0,0,0
1 00,1_00,W10,2,0,0,0,0
1 00,1_00,W10,3,0,0,0,0
1 01,1_01,N5,1,1,1,0,0
1 01,1_01,N5,2,0,0,0,0
1 01,1_01,N5,3,0,0,0,0
1 01,1_01,N10,1,1,0,0,0
1 01,1_01,N10,2,0,0,0,0
1 01,1_01,N10,3,0,0,0,0
1 01,1_01,E5,1,1,0,0,0
1 01,1_01,E5,2,0,0,0,0
1 01,1_01,E5,3,0,0,0,0
1 01,1_01,E10,1,1,1,1,0
1 01,1_01,E10,2,1,0,0,0
1 01,1_01,E10,3,0,0,0,0
1 01,1_01,S5,1,1,0,0,0
1 01,1_01,S5,2,0,0,0,0
1 01,1_01,S5,3,0,0,0,0
1 01,1_01,S10,1,1,0,0,0
1 01,1_01,S10,2,0,0,0,0
1 01,1_01,S10,3,0,0,0,0
1 01,1_01,W5,1,1,0,0,0
1 01,1_01,W5,2,0,0,0,0
1 01,1_01,W5,3,0,0,0,0
1 01,1_01,W10,1,1,0,0,0
1 01,1_01,W10,2,0,0,0,0
1 01,1_01,W10,3,0,0,0,0
1 03,1_03,N5,1,1,0,0,0
1 03,1_03,N5,2,0,0,0,0
1 03,1_03,N5,3,0,0,0,0
1 03,1_03,N10,1,1,0,0,0
1 03,1_03,N10,2,0,0,0,0
1 03,1_03,N10,3,0,0,0,0
1 03,1_03,E5,1,1,0,0,0
1 03,1_03,E5,2,0,0,0,0
1 03,1_03,E5,3,0,0,0,0
1 03,1_03,E10,1,1,0,0,0
1 03,1_03,E10,2,0,0,0,0
1 03,1_03,E10,3,0,0,0,0
1 03,1_03,S5,1,1,0,0,0
1 03,1_03,S5,2,0,0,0,0
1 03,1_03,S5,3,0,0,0,0
1 03,1_03,S10,1,0,0,0,0
1 03,1_03,S10,2,0,0,0,0
1 03,1_03,S10,3,0,0,0,0
1 03,1_03,W5,1,1,0,0,0
1 03,1_03,W5,2,0,0,0,0
1 03,1_03,W5,3,0,0,0,0
1 03,1_03,W10,1,1,0,0,0
1 03,1_03,W10,2,0,0,0,0
1 03,1_03,W10,3,0,0,0,0
1 07,1_07,N5,1,1,0,0,0
1 07,1_07,N5,2,0,0,0,0
1 07,1_07,N5,3,0,0,0,0
1 07,1_07,N10,1,1,0,0,0
1 07,1_07,N10,2,0,0,0,0
1 07,1_07,N10,3,0,0,0,0
1 07,1_07,E5,1,1,0,0,0
1 07,1_07,E5,2,0,0,0,0
1 07,1_07,E5,3,0,0,0,0
1 07,1_07,E10,1,1,0,0,0
1 07,1_07,E10,2,0,0,0,0
1 07,1_07,E10,3,0,0,0,0
1 07,1_07,S5,1,1,0,0,0
1 07,1_07,S5,2,0,0,0,0
1 07,1_07,S5,3,0,0,0,0
1 07,1_07,S10,1,1,0,0,0
1 07,1_07,S10,2,0,0,0,0
1 07,1_07,S10,3,0,0,0,0
1 07,1_07,W5,1,1,0,0,0
1 07,1_07,W5,2,0,0,0,0
1 07,1_07,W5,3,0,0,0,0
1 07,1_07,W10,1,1,0,0,0
1 07,1_07,W10,2,0,0,0,0
1 07,1_07,W10,3,0,0,0,0
1 09,1_09,N5,1,1,0,0,0
1 09,1_09,N5,2,0,0,0,0
1 09,1_09,N5,3,0,0,0,0
1 09,1_09,N10,1,1,0,0,0
1 09,1_09,N10,2,0,0,0,0
1 09,1_09,N10,3,0,0,0,0
1 09,1_09,E5,1,0,0,0,0
1 09,1_09,E5,2,1,0,0,0
1 09,1_09,E5,3,0,0,0,0
1 09,1_09,E10,1,1,0,0,0
1 09,1_09,E10,2,1,0,0,0
1 09,1_09,E10,3,0,0,0,0
1 09,1_09,S5,1,1,0,0,0
1 09,1_09,S5,2,1,0,0,0
1 09,1_09,S5,3,0,0,0,0
1 09,1_09,S10,1,0,0,0,0
1 09,1_09,S10,2,1,0,0,0
1 09,1_09,S10,3,0,0,0,0
1 09,1_09,W5,1,0,0,0,0
1 09,1_09,W5,2,0,0,0,0
1 09,1_09,W5,3,0,0,0,0
1 09,1_09,W10,1,0,0,0,0
1 09,1_09,W10,2,0,0,0,0
1 09,1_09,W10,3,0,0,0,0
1 13,1_13,N5,1,1,0,0,0
1 13,1_13,N5,2,0,0,0,0
1 13,1_13,N5,3,0,0,0,0
1 13,1_13,N10,1,1,0,0,0
1 13,1_13,N10,2,0,0,0,0
1 13,1_13,N10,3,0,0,0,0
1 13,1_13,E5,1,0,0,0,0
1 13,1_13,E5,2,0,0,0,0
1 13,1_13,E5,3,0,0,0,0
1 13,1_13,E10,1,1,0,1,0
1 13,1_13,E10,2,0,0,0,0
1 13,1_13,E10,3,0,0,0,0
1 13,1_13,S5,1,1,0,0,0
1 13,1_13,S5,2,0,0,0,0
1 13,1_13,S5,3,0,0,0,0
1 13,1_13,S10,1,1,0,0,0
1 13,1_13,S10,2,1,0,0,0
1 13,1_13,S10,3,0,0,0,0
1 13,1_13,W5,1,1,0,1,0
1 13,1_13,W5,2,1,0,0,0
1 13,1_13,W5,3,0,0,0,0
1 13,1_13,W10,1,1,0,0,0
1 13,1_13,W10,2,0,0,0,0
1 13,1_13,W10,3,0,0,0,0
1 19,1_19,N5,1,0,0,0,0
1 19,1_19,N5,2,0,0,0,0
1 19,1_19,N5,3,0,0,0,0
1 19,1_19,N10,1,1,0,0,0
1 19,1_19,N10,2,1,0,0,0
1 19,1_19,N10,3,0,0,0,0
1 19,1_19,E5,1,1,0,0,0
1 19,1_19,E5,2,0,0,0,0
1 19,1_19,E5,3,0,0,0,0
1 19,1_19,E10,1,0,0,0,0
1 19,1_19,E10,2,0,0,0,0
1 19,1_19,E10,3,0,0,0,0
1 19,1_19,S5,1,1,0,0,0
1 19,1_19,S5,2,0,0,0,0
1 19,1_19,S5,3,0,0,0,0
1 19,1_19,S10,1,1,0,0,0
1 19,1_19,S10,2,0,0,0,0
1 19,1_19,S10,3,0,0,0,0
1 19,1_19,W5,1,1,0,0,0
1 19,1_19,W5,2,0,0,0,0
1 19,1_19,W5,3,0,0,0,0
1 19,1_19,W10,1,1,0,0,0
1 19,1_19,W10,2,0,0,0,0
1 19,1_19,W10,3,0,0,0,0
1 23,1_23,N5,1,1,0,0,0
1 23,1_23,N5,2,0,0,0,0
1 23,1_23,N5,3,0,0,0,0
1 23,1_23,N10,1,1,0,0,0
1 23,1_23,N10,2,0,0,0,0
1 23,1_23,N10,3,0,0,0,0
1 23,1_23,E5,1,1,0,0,0
1 23,1_23,E5,2,0,0,0,0
1 23,1_23,E5,3,0,0,0,0
1 23,1_23,E10,1,1,0,1,0
