system:index,2005-04-15_tcg_stddev,2005-05-15_tcg_stddev,2005-06-15_tcg_stddev,2005-07-15_tcg_stddev,2005-08-15_tcg_stddev,2006-04-15_tcg_stddev,2006-05-15_tcg_stddev,2006-06-15_tcg_stddev,2006-07-15_tcg_stddev,2006-08-15_tcg_stddev,2007-04-15_tcg_stddev,2007-05-15_tcg_stddev,2007-06-15_tcg_stddev,2007-07-15_tcg_stddev,2007-08-15_tcg_stddev,2008-04-15_tcg_stddev,2008-05-15_tcg_stddev,2008-06-15_tcg_stddev,2008-07-15_tcg_stddev,2008-08-15_tcg_stddev,2009-04-15_tcg_stddev,2009-05-15_tcg_stddev,2009-06-15_tcg_stddev,2009-07-15_tcg_stddev,2009-08-15_tcg_stddev,2010-04-15_tcg_stddev,2010-05-15_tcg_stddev,2010-06-15_tcg_stddev,2010-07-15_tcg_stddev,2010-08-15_tcg_stddev,2011-04-15_tcg_stddev,2011-05-15_tcg_stddev,2011-06-15_tcg_stddev,2011-07-15_tcg_stddev,2011-08-15_tcg_stddev,2012-04-15_tcg_stddev,2012-05-15_tcg_stddev,2012-06-15_tcg_stddev,2012-07-15_tcg_stddev,2012-08-15_tcg_stddev,2013-04-15_tcg_stddev,2013-05-15_tcg_stddev,2013-06-15_tcg_stddev,2013-07-15_tcg_stddev,2013-08-15_tcg_stddev,2014-04-15_tcg_stddev,2014-05-15_tcg_stddev,2014-06-15_tcg_stddev,2014-07-15_tcg_stddev,2014-08-15_tcg_stddev,2015-04-15_tcg_stddev,2015-05-15_tcg_stddev,2015-06-15_tcg_stddev,2015-07-15_tcg_stddev,2015-08-15_tcg_stddev,2016-04-15_tcg_stddev,2016-05-15_tcg_stddev,2016-06-15_tcg_stddev,2016-07-15_tcg_stddev,2016-08-15_tcg_stddev,2017-04-15_tcg_stddev,2017-05-15_tcg_stddev,2017-06-15_tcg_stddev,2017-07-15_tcg_stddev,2017-08-15_tcg_stddev,2018-04-15_tcg_stddev,2018-05-15_tcg_stddev,2018-06-15_tcg_stddev,2018-07-15_tcg_stddev,2018-08-15_tcg_stddev,2019-04-15_tcg_stddev,2019-05-15_tcg_stddev,2019-06-15_tcg_stddev,2019-07-15_tcg_stddev,2019-08-15_tcg_stddev,2020-04-15_tcg_stddev,2020-05-15_tcg_stddev,2020-06-15_tcg_stddev,2020-07-15_tcg_stddev,2020-08-15_tcg_stddev,2021-04-15_tcg_stddev,2021-05-15_tcg_stddev,2021-06-15_tcg_stddev,2021-07-15_tcg_stddev,2021-08-15_tcg_stddev,2022-04-15_tcg_stddev,2022-05-15_tcg_stddev,2022-06-15_tcg_stddev,2022-07-15_tcg_stddev,2022-08-15_tcg_stddev,id,.geo
0,13,0,,0,0,8,32,0,2,0,4,0,0,4,27,14,5,0,,2,0,30,,0,8,13,3,9,0,12,19,,0,2,,0,,2,0,0,0,0,0,0,0,0,0,0,0,9,0,0,,0,0,0,40,4,14,0,2,14,,1,10,3,0,0,,,0,0,17,5,0,,0,,0,0,,0,0,,0,0,35,4,1,,1,"{""type"":""Point"",""coordinates"":[-72.38961280747418,42.31862588301645]}"
1,10,0,,0,0,8,25,0,2,0,1,0,0,3,27,9,3,0,,2,0,32,,0,8,4,4,13,0,14,20,,0,0,,0,,2,0,0,0,0,0,0,0,0,0,0,0,6,0,0,,0,0,0,5,3,13,0,1,13,,2,10,3,0,0,,,0,0,18,1,0,,0,,0,0,,0,0,,0,0,25,1,0,,2,"{""type"":""Point"",""coordinates"":[-72.39003642207425,42.318465355378514]}"
2,17,0,,,0,4,32,17,46,0,0,38,1,7,30,19,13,0,0,0,0,0,,0,1,9,4,18,0,14,21,0,19,0,,0,,3,0,0,0,22,,,0,0,0,0,0,0,4,0,,0,0,5,40,4,18,4,1,0,,1,10,5,0,0,,,0,0,0,12,0,,0,,0,0,,0,0,,,0,18,6,12,,3,"{""type"":""Point"",""coordinates"":[-72.37851856405321,42.32352197597313]}"
3,14,0,,0,0,9,45,4,40,0,0,48,2,14,80,18,21,0,0,1,0,0,,12,5,19,7,9,4,10,21,0,30,5,,0,,0,0,26,0,23,0,0,,0,0,3,0,,9,0,,0,5,3,60,9,6,5,1,15,,6,9,1,0,0,,,0,0,0,13,0,,0,,0,0,,0,0,,,0,27,0,17,,4,"{""type"":""Point"",""coordinates"":[-72.37846505484056,42.32151983960013]}"
4,19,0,0,0,0,0,42,19,6,0,0,51,4,13,15,33,25,,0,3,0,28,,23,0,32,6,23,0,15,29,,22,2,,,,3,0,0,0,27,0,0,0,0,0,0,0,13,0,,0,0,7,0,90,13,11,0,2,6,,0,15,4,0,0,,,0,0,0,0,0,,0,,0,0,,0,0,,,0,31,3,13,,5,"{""type"":""Point"",""coordinates"":[-72.37580743061271,42.31827807313427]}"
5,14,0,,0,0,9,,20,0,0,5,0,3,0,21,22,0,31,0,9,0,0,,11,6,15,2,11,,15,19,,25,3,,0,,4,0,0,0,39,0,0,0,0,,39,0,12,0,0,,0,0,2,33,8,14,13,1,0,,8,11,0,0,0,,,0,0,0,87,0,,0,,0,0,,0,0,,,0,43,0,0,0,6,"{""type"":""Point"",""coordinates"":[-72.38739663425062,42.32410165911008]}"
6,14,0,0,0,0,0,49,16,12,0,0,59,2,13,30,20,23,,0,2,0,33,,9,0,16,7,7,0,15,20,,21,3,,,,2,0,0,,0,0,0,0,0,0,0,,14,5,,,0,0,2,62,9,20,0,0,8,,0,13,5,0,0,,,0,0,0,21,0,,0,,0,0,,0,0,,,0,39,9,0,,7,"{""type"":""Point"",""coordinates"":[-72.37991426268293,42.31930812547762]}"
7,12,0,,0,0,0,54,9,4,0,5,57,6,8,25,18,0,,0,2,0,18,,5,0,10,4,7,0,12,20,,36,3,,,,1,0,0,0,34,0,0,0,0,0,0,0,7,,,,0,0,2,50,4,4,0,0,17,,0,9,4,0,0,,,0,0,0,0,0,,0,,0,0,,0,0,,0,0,33,0,8,,8,"{""type"":""Point"",""coordinates"":[-72.38580473517453,42.31988334951352]}"
8,13,0,,0,0,5,37,2,5,0,0,54,0,2,33,15,18,0,0,2,0,8,,6,4,25,0,11,0,11,19,0,0,2,,0,,5,0,11,0,33,0,0,0,0,0,,0,10,0,0,,0,0,2,46,2,15,10,4,26,,7,6,0,0,0,,,0,0,0,16,0,,0,,0,0,,0,0,,,0,23,4,0,,9,"{""type"":""Point"",""coordinates"":[-72.38163547568956,42.32102933848425]}"
9,13,0,,0,0,7,48,7,13,0,0,48,0,4,83,18,21,0,0,2,0,38,,15,9,14,9,14,0,16,19,0,30,6,,0,,0,0,20,0,33,0,0,,0,0,0,0,,13,0,,0,8,0,44,9,13,7,0,16,,8,1,3,0,0,,,0,0,0,14,0,,0,,0,0,,0,0,,,0,31,7,24,,10,"{""type"":""Point"",""coordinates"":[-72.37851856405321,42.321287966345345]}"
