plot,loc,size,RO,BO,WO,CO
1 00,N5,1,1,0,0,0
1 00,N5,2,0,0,0,0
1 00,N5,3,0,0,0,0
1 00,N10,1,1,0,0,0
1 00,N10,2,0,0,0,0
1 00,N10,3,0,0,0,0
1 00,E5,1,0,0,0,0
1 00,E5,2,0,0,0,0
1 00,E5,3,0,0,0,0
1 00,E10,1,1,0,0,0
1 00,E10,2,0,0,0,0
1 00,E10,3,0,0,0,0
1 00,S5,1,0,0,1,0
1 00,S5,2,0,0,0,0
1 00,S5,3,0,0,0,0
1 00,S10,1,1,0,1,0
1 00,S10,2,0,0,0,0
1 00,S10,3,0,0,0,0
1 00,W5,1,1,0,0,0
1 00,W5,2,0,0,0,0
1 00,W5,3,0,0,0,0
1 00,W10,1,1,0,0,0
1 00,W10,2,0,0,0,0
1 00,W10,3,0,0,0,0
1 01,N5,1,1,1,0,0
1 01,N5,2,0,0,0,0
1 01,N5,3,0,0,0,0
1 01,N10,1,1,0,0,0
1 01,N10,2,0,0,0,0
1 01,N10,3,0,0,0,0
1 01,E5,1,1,0,0,0
1 01,E5,2,0,0,0,0
1 01,E5,3,0,0,0,0
1 01,E10,1,1,1,1,0
1 01,E10,2,1,0,0,0
1 01,E10,3,0,0,0,0
1 01,S5,1,1,0,0,0
1 01,S5,2,0,0,0,0
1 01,S5,3,0,0,0,0
1 01,S10,1,1,0,0,0
1 01,S10,2,0,0,0,0
1 01,S10,3,0,0,0,0
1 01,W5,1,1,0,0,0
1 01,W5,2,0,0,0,0
1 01,W5,3,0,0,0,0
1 01,W10,1,1,0,0,0
1 01,W10,2,0,0,0,0
1 01,W10,3,0,0,0,0
1 03,N5,1,1,0,0,0
1 03,N5,2,0,0,0,0
1 03,N5,3,0,0,0,0
1 03,N10,1,1,0,0,0
1 03,N10,2,0,0,0,0
1 03,N10,3,0,0,0,0
1 03,E5,1,1,0,0,0
1 03,E5,2,0,0,0,0
1 03,E5,3,0,0,0,0
1 03,E10,1,1,0,0,0
1 03,E10,2,0,0,0,0
1 03,E10,3,0,0,0,0
1 03,S5,1,1,0,0,0
1 03,S5,2,0,0,0,0
1 03,S5,3,0,0,0,0
1 03,S10,1,0,0,0,0
1 03,S10,2,0,0,0,0
1 03,S10,3,0,0,0,0
1 03,W5,1,1,0,0,0
1 03,W5,2,0,0,0,0
1 03,W5,3,0,0,0,0
1 03,W10,1,1,0,0,0
1 03,W10,2,0,0,0,0
1 03,W10,3,0,0,0,0
1 07,N5,1,1,0,0,0
1 07,N5,2,0,0,0,0
1 07,N5,3,0,0,0,0
1 07,N10,1,1,0,0,0
1 07,N10,2,0,0,0,0
1 07,N10,3,0,0,0,0
1 07,E5,1,1,0,0,0
1 07,E5,2,0,0,0,0
1 07,E5,3,0,0,0,0
1 07,E10,1,1,0,0,0
1 07,E10,2,0,0,0,0
1 07,E10,3,0,0,0,0
1 07,S5,1,1,0,0,0
1 07,S5,2,0,0,0,0
1 07,S5,3,0,0,0,0
1 07,S10,1,1,0,0,0
1 07,S10,2,0,0,0,0
1 07,S10,3,0,0,0,0
1 07,W5,1,1,0,0,0
1 07,W5,2,0,0,0,0
1 07,W5,3,0,0,0,0
1 07,W10,1,1,0,0,0
1 07,W10,2,0,0,0,0
1 07,W10,3,0,0,0,0
1 09,N5,1,1,0,0,0
1 09,N5,2,0,0,0,0
1 09,N5,3,0,0,0,0
1 09,N10,1,1,0,0,0
1 09,N10,2,0,0,0,0
1 09,N10,3,0,0,0,0
1 09,E5,1,0,0,0,0
1 09,E5,2,1,0,0,0
1 09,E5,3,0,0,0,0
1 09,E10,1,1,0,0,0
1 09,E10,2,1,0,0,0
1 09,E10,3,0,0,0,0
1 09,S5,1,1,0,0,0
1 09,S5,2,1,0,0,0
1 09,S5,3,0,0,0,0
1 09,S10,1,0,0,0,0
1 09,S10,2,1,0,0,0
1 09,S10,3,0,0,0,0
1 09,W5,1,0,0,0,0
1 09,W5,2,0,0,0,0
1 09,W5,3,0,0,0,0
1 09,W10,1,0,0,0,0
1 09,W10,2,0,0,0,0
1 09,W10,3,0,0,0,0
1 13,N5,1,1,0,0,0
1 13,N5,2,0,0,0,0
1 13,N5,3,0,0,0,0
1 13,N10,1,1,0,0,0
1 13,N10,2,0,0,0,0
1 13,N10,3,0,0,0,0
1 13,E5,1,0,0,0,0
1 13,E5,2,0,0,0,0
1 13,E5,3,0,0,0,0
1 13,E10,1,1,0,1,0
1 13,E10,2,0,0,0,0
1 13,E10,3,0,0,0,0
1 13,S5,1,1,0,0,0
1 13,S5,2,0,0,0,0
1 13,S5,3,0,0,0,0
1 13,S10,1,1,0,0,0
1 13,S10,2,1,0,0,0
1 13,S10,3,0,0,0,0
1 13,W5,1,1,0,1,0
1 13,W5,2,1,0,0,0
1 13,W5,3,0,0,0,0
1 13,W10,1,1,0,0,0
1 13,W10,2,0,0,0,0
1 13,W10,3,0,0,0,0
1 19,N5,1,0,0,0,0
1 19,N5,2,0,0,0,0
1 19,N5,3,0,0,0,0
1 19,N10,1,1,0,0,0
1 19,N10,2,1,0,0,0
1 19,N10,3,0,0,0,0
1 19,E5,1,1,0,0,0
1 19,E5,2,0,0,0,0
1 19,E5,3,0,0,0,0
1 19,E10,1,0,0,0,0
1 19,E10,2,0,0,0,0
1 19,E10,3,0,0,0,0
1 19,S5,1,1,0,0,0
1 19,S5,2,0,0,0,0
1 19,S5,3,0,0,0,0
1 19,S10,1,1,0,0,0
1 19,S10,2,0,0,0,0
1 19,S10,3,0,0,0,0
1 19,W5,1,1,0,0,0
1 19,W5,2,0,0,0,0
1 19,W5,3,0,0,0,0
1 19,W10,1,1,0,0,0
1 19,W10,2,0,0,0,0
1 19,W10,3,0,0,0,0
1 23,N5,1,1,0,0,0
1 23,N5,2,0,0,0,0
1 23,N5,3,0,0,0,0
1 23,N10,1,1,0,0,0
1 23,N10,2,0,0,0,0
1 23,N10,3,0,0,0,0
1 23,E5,1,1,0,0,0
1 23,E5,2,0,0,0,0
1 23,E5,3,0,0,0,0
1 23,E10,1,1,0,1,0
1 23,E10,2,0,0,0,0
1 23,E10,3,0,0,0,0
1 23,S5,1,1,0,0,0
1 23,S5,2,0,0,0,0
1 23,S5,3,0,0,0,0
1 23,S10,1,1,0,0,0
1 23,S10,2,0,0,0,0
1 23,S10,3,0,0,0,0
1 23,W5,1,1,1,1,0
1 23,W5,2,0,0,0,0
1 23,W5,3,0,0,0,0
1 23,W10,1,1,0,0,0
1 23,W10,2,0,0,0,0
1 23,W10,3,0,0,0,0
1 28,N5,1,0,0,0,0
1 28,N5,2,0,0,0,0
1 28,N5,3,0,0,0,0
1 28,N10,1,0,0,0,0
1 28,N10,2,0,0,0,0
1 28,N10,3,0,0,0,0
1 28,E5,1,1,0,0,0
1 28,E5,2,1,0,0,0
1 28,E5,3,0,0,0,0
1 28,E10,1,1,0,0,0
1 28,E10,2,0,0,0,0
1 28,E10,3,0,0,0,0
1 28,S5,1,1,0,0,0
1 28,S5,2,0,0,0,0
