plot_type,plot,type,Conifer,HW,Shrub,Herb,f.a,Gram,Perc_cvr,major_species1,major_species2,major_species3,major_species4
1 00u,1 00,u,1,1,0,0,0,0,1,WP,,,
1 00g,1 00,g,0,0,1,0,0,0,3,HLB,,,
1 01u,1 01,u,1,0,0,0,0,0,1,WP,,,
1 01g,1 01,g,1,0,1,0,0,0,1,WP,,,
1 03u,1 03,u,1,1,0,0,0,0,1,,,,
1 03g,1 03,g,0,1,1,0,0,0,2,BLB,,,
1 07u,1 07,u,1,1,0,0,0,0,1,WP,,,
1 07g,1 07,g,0,0,1,0,0,0,,BLB,,,
1 09u,1 09,u,1,1,0,0,0,0,2,WP,AC,RM,
1 09g,1 09,g,0,0,1,0,0,0,3,HLB,,,
1 13u,1 13,u,1,0,0,0,0,0,2,WP,,,
1 13g,1 13,g,0,0,1,0,1,0,2,CF,,,
1 19u,1 19,u,1,0,0,0,0,0,1,,,,
1 19g,1 19,g,0,0,1,0,0,0,,HLB,,,
1 23u,1 23,u,0,1,0,0,0,0,2,AC,,,
1 23g,1 23,g,0,0,1,0,0,0,2,HLB,,,
1 28u,1 28,u,1,0,0,0,0,0,1,WP,spruce,,
1 28g,1 28,g,0,0,0,0,1,0,1,NYF,HSF,,
1 29u,1 29,u,0,1,1,0,0,0,,ML,,,
1 29g,1 29,g,0,0,1,0,1,0,,ML,BLB,,
1 30u,1 30,u,1,1,0,0,0,0,1,WP,,,
1 30g,1 30,g,0,0,0,1,1,0,1,HSF,,,
1 31u,1 31,u,1,1,0,0,0,0,1,Sparse,,,
1 31g,1 31,g,0,0,1,0,1,0,4,HSF,,,
1 32u,1 32,u,1,1,0,0,0,0,1,WP,,,
1 32g,1 32,g,0,1,1,0,0,0,4,BLB,fagaceae,,
1 33u,1 33,u,1,1,0,0,0,0,1,,,,
1 33g,1 33,g,0,1,0,0,1,0,4,HSF,slash covered by ferns,,
1 34u,1 34,u,0,0,1,0,0,0,1,WH,,,
1 34g,1 34,g,0,0,0,0,1,0,4,HSF,osmunda fern,,
1 38u,1 38,u,1,1,0,0,1,0,1,WP,,,
1 38g,1 38,g,0,0,0,0,1,0,1,Slash,,,
1 40u,1 40,u,1,1,0,0,0,0,2,WP,,,
1 40g,1 40,g,1,0,1,0,0,0,3,WP,HLB,,
