group,species
cyclopoid,ACANTHOCYCLOPS VERNALIS
cladoceran,ALONA
rotifer,ASCOMORPHA
rotifer,ASCOMORPHA OVALIS
rotifer,ASPLANCHNA
cladoceran,BOSMINIDAE
calanoid,CALANOID
cladoceran,CHYDORUS
rotifer,COLLOTHECA
rotifer,CONOCHILOIDES
rotifer,CONOCHILUS
copepod,COPEPOD NAUPLII
cyclopoid,CYCLOPOID
cladoceran,DAPHNIA
cladoceran,DAPHNIA AMBIGUA
cladoceran,DAPHNIA DUBIA
cladoceran,DAPHNIA LONGIREMIS
cladoceran,DAPHNIA MENDOTAE
cladoceran,DAPHNIA PARVULA
cladoceran,DAPHNIA PULICARIA
cyclopoid,DIACYCLOPS THOMASI
cladoceran,DIAPHANOSOMA BIRGEI
calanoid,EPISCHURA LACUSTRIS
cyclopoid,EUCYCLOPS AGILIS
cyclopoid,EUCYCLOPS ELEGANS
rotifer,FILINIA TERMINALIS
rotifer,GASTROPUS HYPTOPUS
rotifer,GASTROPUS STYLIFER
cladoceran,HOLOPEDIUM GIBBERUM
rotifer,KELLICOTTIA BOSTONIENSIS
rotifer,KELLICOTTIA LONGISPINA
rotifer,KERATELLA COCHLEARIS
rotifer,KERATELLA CRASSA
rotifer,KERATELLA EARLINAE
rotifer,KERATELLA HIEMALIS
rotifer,KERATELLA QUADRATA
rotifer,KERATELLA TAUROCEPHALA
rotifer,KERATELLA TICINENSIS
rotifer,LECANE
rotifer,LECANE INERMIS
rotifer,LECANE MIRA
rotifer,LECANE TENUISETA
calanoid,LEPTODIAPTOMUS MINUTUS
rotifer,MONOSTYLA
rotifer,MONOSTYLA LUNARIS
rotifer,MONOSTYLA OBTUSA
rotifer,PLOESOMA
rotifer,PLOESOMA LENTICULARE
rotifer,POLYARTHRA
rotifer,POLYARTHRA DOLICHOPTERA
rotifer,POLYARTHRA EURYPTERA
rotifer,POLYARTHRA MAJOR
rotifer,POLYARTHRA REMATA
rotifer,POLYARTHRA VULGARIS
rotifer,POLYPHEMUS PEDICULUS
rotifer,SYNCHAETA
rotifer,TRICHOCERCA BIROSTRIS
rotifer,TRICHOCERCA CYLINDRICA
rotifer,TRICHOCERCA MULTICRINIS
rotifer,TROPOCYCLOPS PRASINUS MEXICANUS
rotifer,UNKNOWN ROTIFER
