group,species
chydorus,CHYDORUS
bosmina,BOSMINIDAE
cladoceran,CERIODAPHNIA
cladoceran,DAPHNIA
cladoceran,DAPHNIA LONGIREMIS
cladoceran,DAPHNIA MENDOTAE
cladoceran,DAPHNIA PARVULA
cladoceran,DAPHNIA PULICARIA
cladoceran,DAPHNIA RETROCURVA
cladoceran,HOLOPEDIUM GIBBERUM
cyclopoid,ACANTHOCYCLOPS VERNALIS
calanoid,CALANOID
copepod,COPEPOD NAUPLII
cyclopoid,CYCLOPOID
cyclopoid,DIACYCLOPS THOMASI
calanoid,EPISCHURA LACUSTRIS
cyclopoid,EUCYCLOPS ELEGANS
calanoid,LEPTODIAPTOMUS MINUTUS
calanoid,LEPTODIAPTOMUS SICILIS
cyclopoid,MESOCYCLOPS EDAX
diaptomus,SKISTODIAPTOMUS OREGONENSIS
cyclopoid,TROPOCYCLOPS PRASINUS MEXICANUS
rotifer,ASCOMORPHA
rotifer,ASCOMORPHA ECAUDIS
rotifer,ASCOMORPHA OVALIS
rotifer,ASPLANCHNA
rotifer,COLLOTHECA
rotifer,CONOCHILOIDES
rotifer,CONOCHILUS
rotifer,FILINIA TERMINALIS
rotifer,GASTROPUS HYPTOPUS
rotifer,GASTROPUS STYLIFER
rotifer,KELLICOTTIA BOSTONIENSIS
rotifer,KELLICOTTIA LONGISPINA
rotifer,KERATELLA COCHLEARIS
rotifer,KERATELLA CRASSA
rotifer,KERATELLA EARLINAE
rotifer,KERATELLA HIEMALIS
rotifer,KERATELLA QUADRATA
rotifer,KERATELLA SERRULATA
rotifer,KERATELLA TAUROCEPHALA
rotifer,KERATELLA TICINENSIS
rotifer,LECANE INERMIS
rotifer,LECANE TENUISETA
rotifer,LEPADELLA
rotifer,LEPADELLA PATELLA
rotifer,MONOSTYLA
rotifer,MONOSTYLA LUNARIS
rotifer,NOTHOLCA FOLIACEA
rotifer,NOTHOLCA MICHIGANENSIS
rotifer,PLOESOMA
rotifer,POLYARTHRA
rotifer,POLYARTHRA DOLICHOPTERA
rotifer,POLYARTHRA EURYPTERA
rotifer,POLYARTHRA MAJOR
rotifer,POLYARTHRA REMATA
rotifer,POLYARTHRA VULGARIS
rotifer,SYNCHAETA
rotifer,TRICHOCERCA
rotifer,TRICHOCERCA BIROSTRIS
rotifer,TRICHOCERCA CYLINDRICA
rotifer,TRICHOCERCA MULTICRINIS
rotifer,TRICHOCERCA PORCELLUS
rotifer,TRICHOCERCA PUSILLA
rotifer,TRICHOCERCA ROUSSELETI
rotifer,TRICHOCERCA SIMILIS
rotifer,UNKNOWN ROTIFER
sididae,DIAPHANOSOMA BIRGEI
